row_id,action_id,dilemma_id,situation,description,consequence,values,topic_group,text
76,dd_1352_to_do,dd_1352,"As a university professor, you have a responsibility to maintain a professional relationship with your students. However, you find yourself developing romantic feelings for one of your students, which could potentially disrupt the learning environment and violate the university's ethical guidelines. Would it be ethical to pursue a relationship with the student after they've graduated?",Pursue a relationship,"As a professor, you decide to pursue a relationship with the student after graduation. However, word gets out and your reputation is tarnished. You face disciplinary action from the university, potentially losing your job. Your professional credibility is damaged, making it difficult to find employment elsewhere.","professional integrity, autonomy, fairness, equality, trustworthiness",school,"Situation: As a university professor, you have a responsibility to maintain a professional relationship with your students. However, you find yourself developing romantic feelings for one of your students, which could potentially disrupt the learning environment and violate the university's ethical guidelines. Would it be ethical to pursue a relationship with the student after they've graduated?
Action: Pursue a relationship
Consequence: As a professor, you decide to pursue a relationship with the student after graduation. However, word gets out and your reputation is tarnished. You face disciplinary action from the university, potentially losing your job. Your professional credibility is damaged, making it difficult to find employment elsewhere."
77,dd_1352_not_to_do,dd_1352,"As a university professor, you have a responsibility to maintain a professional relationship with your students. However, you find yourself developing romantic feelings for one of your students, which could potentially disrupt the learning environment and violate the university's ethical guidelines. Would it be ethical to pursue a relationship with the student after they've graduated?",Not pursue a relationship,"You decide not to pursue the relationship, maintaining your professional integrity. However, you're left with feelings of regret and what-ifs. This emotional turmoil affects your teaching performance and personal life, leading to stress and dissatisfaction.","self, autonomy, equality, empathy",school,"Situation: As a university professor, you have a responsibility to maintain a professional relationship with your students. However, you find yourself developing romantic feelings for one of your students, which could potentially disrupt the learning environment and violate the university's ethical guidelines. Would it be ethical to pursue a relationship with the student after they've graduated?
Action: Not pursue a relationship
Consequence: You decide not to pursue the relationship, maintaining your professional integrity. However, you're left with feelings of regret and what-ifs. This emotional turmoil affects your teaching performance and personal life, leading to stress and dissatisfaction."
88,dd_1552_to_do,dd_1552,"In a community center, a flu vaccination drive is being conducted. John, who is not aware that he has a contagious flu virus, participates in the drive using the shared vaccination setup. Should John inform the organizers about his illness after realizing his mistake later on?",Informing the organizers,"John informs the organizers about his flu. They have to halt the drive, disinfect the area, and inform everyone who got vaccinated about potential exposure. This causes panic and mistrust in the community, damaging the reputation of the drive.","honesty, responsibility, transparency, accountability, trust, safety, peace of mind, health, integrity",role_duty_responsibility,"Situation: In a community center, a flu vaccination drive is being conducted. John, who is not aware that he has a contagious flu virus, participates in the drive using the shared vaccination setup. Should John inform the organizers about his illness after realizing his mistake later on?
Action: Informing the organizers
Consequence: John informs the organizers about his flu. They have to halt the drive, disinfect the area, and inform everyone who got vaccinated about potential exposure. This causes panic and mistrust in the community, damaging the reputation of the drive."
89,dd_1552_not_to_do,dd_1552,"In a community center, a flu vaccination drive is being conducted. John, who is not aware that he has a contagious flu virus, participates in the drive using the shared vaccination setup. Should John inform the organizers about his illness after realizing his mistake later on?",Not informing the organizers,"John decides not to inform the organizers. His flu virus spreads to others who participated in the drive. The community experiences a flu outbreak, causing severe health issues and even hospitalizations.","self, anxiety, accountability",role_duty_responsibility,"Situation: In a community center, a flu vaccination drive is being conducted. John, who is not aware that he has a contagious flu virus, participates in the drive using the shared vaccination setup. Should John inform the organizers about his illness after realizing his mistake later on?
Action: Not informing the organizers
Consequence: John decides not to inform the organizers. His flu virus spreads to others who participated in the drive. The community experiences a flu outbreak, causing severe health issues and even hospitalizations."
92,dd_1656_to_do,dd_1656,"As a successful horror novelist, I often base my plots on real-life unsolved mysteries. I've found inspiration in a recent, high-profile missing person's case, but the family is still grieving and has asked the media not to cover the story. Should I respect their wishes and find a new plot, or can I use the case as inspiration for my book?",Use the case as inspiration,"I decided to use the case as inspiration for my book. The novel was a hit, but the family found out and sued me for invasion of privacy. The negative publicity damaged my reputation and I lost a significant number of readers.","right to privacy, right to information",event_daily_life,"Situation: As a successful horror novelist, I often base my plots on real-life unsolved mysteries. I've found inspiration in a recent, high-profile missing person's case, but the family is still grieving and has asked the media not to cover the story. Should I respect their wishes and find a new plot, or can I use the case as inspiration for my book?
Action: Use the case as inspiration
Consequence: I decided to use the case as inspiration for my book. The novel was a hit, but the family found out and sued me for invasion of privacy. The negative publicity damaged my reputation and I lost a significant number of readers."
93,dd_1656_not_to_do,dd_1656,"As a successful horror novelist, I often base my plots on real-life unsolved mysteries. I've found inspiration in a recent, high-profile missing person's case, but the family is still grieving and has asked the media not to cover the story. Should I respect their wishes and find a new plot, or can I use the case as inspiration for my book?",Respect their wishes and find a new plot,"I respected their wishes and found a new plot. However, the new plot didn't resonate with my readers as much. My book sales dropped and I struggled to regain my previous success.",respect for others' feelings,event_daily_life,"Situation: As a successful horror novelist, I often base my plots on real-life unsolved mysteries. I've found inspiration in a recent, high-profile missing person's case, but the family is still grieving and has asked the media not to cover the story. Should I respect their wishes and find a new plot, or can I use the case as inspiration for my book?
Action: Respect their wishes and find a new plot
Consequence: I respected their wishes and found a new plot. However, the new plot didn't resonate with my readers as much. My book sales dropped and I struggled to regain my previous success."
126,dd_2155_to_do,dd_2155,You're planning a surprise birthday gift for your partner who has been wanting a new phone for a while. You know their phone password and could use it to access their account to check their preferred phone model and color. Should you invade their privacy to ensure you purchase the right gift?,Invade privacy,"You use your partner's password to check their preferences. You buy the exact model and color they wanted. However, they notice the browsing history and become upset that you invaded their privacy. Trust issues surface, causing arguments and tension.","respect for personal boundaries, right to privacy, right to privacy",event_daily_life,"Situation: You're planning a surprise birthday gift for your partner who has been wanting a new phone for a while. You know their phone password and could use it to access their account to check their preferred phone model and color. Should you invade their privacy to ensure you purchase the right gift?
Action: Invade privacy
Consequence: You use your partner's password to check their preferences. You buy the exact model and color they wanted. However, they notice the browsing history and become upset that you invaded their privacy. Trust issues surface, causing arguments and tension."
127,dd_2155_not_to_do,dd_2155,You're planning a surprise birthday gift for your partner who has been wanting a new phone for a while. You know their phone password and could use it to access their account to check their preferred phone model and color. Should you invade their privacy to ensure you purchase the right gift?,Respect privacy,"You respect your partner's privacy and buy a phone based on your best guess. Unfortunately, you pick the wrong model and color. Your partner appreciates the gesture, but you can see the slight disappointment in their eyes.","respect for personal boundaries, right to privacy",event_daily_life,"Situation: You're planning a surprise birthday gift for your partner who has been wanting a new phone for a while. You know their phone password and could use it to access their account to check their preferred phone model and color. Should you invade their privacy to ensure you purchase the right gift?
Action: Respect privacy
Consequence: You respect your partner's privacy and buy a phone based on your best guess. Unfortunately, you pick the wrong model and color. Your partner appreciates the gesture, but you can see the slight disappointment in their eyes."
146,dd_2599_to_do,dd_2599,"You live in an area that is home to many endangered species of insects that are crucial to the local ecosystem. You've noticed that a few of these insects have started to invade your home, causing discomfort and potential health risks. Should you exterminate these insects to protect your home, or leave them be to preserve the local ecosystem?",Exterminate the insects,"You decide to eradicate the insects, protecting your home and health. However, their absence disrupts the local ecosystem, leading to an overgrowth of certain plants and the extinction of some bird species that fed on those insects.","safety, survival, balance, peace, survival",event_daily_life,"Situation: You live in an area that is home to many endangered species of insects that are crucial to the local ecosystem. You've noticed that a few of these insects have started to invade your home, causing discomfort and potential health risks. Should you exterminate these insects to protect your home, or leave them be to preserve the local ecosystem?
Action: Exterminate the insects
Consequence: You decide to eradicate the insects, protecting your home and health. However, their absence disrupts the local ecosystem, leading to an overgrowth of certain plants and the extinction of some bird species that fed on those insects."
147,dd_2599_not_to_do,dd_2599,"You live in an area that is home to many endangered species of insects that are crucial to the local ecosystem. You've noticed that a few of these insects have started to invade your home, causing discomfort and potential health risks. Should you exterminate these insects to protect your home, or leave them be to preserve the local ecosystem?",Not exterminate the insects,"You choose to let them be, preserving the ecosystem. The insects, however, multiply rapidly and infest your home, leading to significant structural damage and potential health issues due to uncontrolled insect population.","tolerance, survival, financial stability, job security, balance",event_daily_life,"Situation: You live in an area that is home to many endangered species of insects that are crucial to the local ecosystem. You've noticed that a few of these insects have started to invade your home, causing discomfort and potential health risks. Should you exterminate these insects to protect your home, or leave them be to preserve the local ecosystem?
Action: Not exterminate the insects
Consequence: You choose to let them be, preserving the ecosystem. The insects, however, multiply rapidly and infest your home, leading to significant structural damage and potential health issues due to uncontrolled insect population."
156,dd_2932_to_do,dd_2932,"John was always manipulative and self-centered, using others for his own gain. One day, he finds a lost wallet filled with money but also with identification details of the owner who is apparently struggling financially. Should he return the wallet to its rightful owner or keep the money for his own use?",Keep the wallet,"John decides to keep the money. Over time, guilt consumes him, resulting in sleepless nights, loss of appetite, and a decline in his mental health. His manipulative behavior begins to unravel, causing him to lose friends and face social isolation.","injustice, betrayal, anxiety",issue_self_image_social,"Situation: John was always manipulative and self-centered, using others for his own gain. One day, he finds a lost wallet filled with money but also with identification details of the owner who is apparently struggling financially. Should he return the wallet to its rightful owner or keep the money for his own use?
Action: Keep the wallet
Consequence: John decides to keep the money. Over time, guilt consumes him, resulting in sleepless nights, loss of appetite, and a decline in his mental health. His manipulative behavior begins to unravel, causing him to lose friends and face social isolation."
157,dd_2932_not_to_do,dd_2932,"John was always manipulative and self-centered, using others for his own gain. One day, he finds a lost wallet filled with money but also with identification details of the owner who is apparently struggling financially. Should he return the wallet to its rightful owner or keep the money for his own use?",Return the wallet,"John chooses not to return the wallet. The owner, desperate and helpless, files a police report. Surveillance cameras eventually lead to John, and he is charged with theft. His reputation is ruined and he faces legal consequences.","dishonesty, desperation, upholding law",issue_self_image_social,"Situation: John was always manipulative and self-centered, using others for his own gain. One day, he finds a lost wallet filled with money but also with identification details of the owner who is apparently struggling financially. Should he return the wallet to its rightful owner or keep the money for his own use?
Action: Return the wallet
Consequence: John chooses not to return the wallet. The owner, desperate and helpless, files a police report. Surveillance cameras eventually lead to John, and he is charged with theft. His reputation is ruined and he faces legal consequences."
172,dd_3363_to_do,dd_3363,"You've taken your young child to the movies and they want to buy snacks from the concession stand. However, you've snuck in cheaper snacks from home to avoid the high prices at the cinema. Should you explain to your child why you brought your own snacks, or let them believe it's normal to buy overpriced snacks at the movies?",Explain the reason for sneaking in snacks,"You explain to your child about the high prices at the cinema and why you brought your own snacks. The child, not fully understanding, loudly announces this in the queue. The staff overhear and you're asked to leave, embarrassing you and disappointing your child.","honesty, financial prudence, respect for rules, trust, duty, fairness",event_daily_life,"Situation: You've taken your young child to the movies and they want to buy snacks from the concession stand. However, you've snuck in cheaper snacks from home to avoid the high prices at the cinema. Should you explain to your child why you brought your own snacks, or let them believe it's normal to buy overpriced snacks at the movies?
Action: Explain the reason for sneaking in snacks
Consequence: You explain to your child about the high prices at the cinema and why you brought your own snacks. The child, not fully understanding, loudly announces this in the queue. The staff overhear and you're asked to leave, embarrassing you and disappointing your child."
173,dd_3363_not_to_do,dd_3363,"You've taken your young child to the movies and they want to buy snacks from the concession stand. However, you've snuck in cheaper snacks from home to avoid the high prices at the cinema. Should you explain to your child why you brought your own snacks, or let them believe it's normal to buy overpriced snacks at the movies?",Not explain and let them believe it's normal,"You allow your child to think it's normal to buy overpriced snacks at the cinema. As they grow older, they develop a habit of overspending on unnecessary items, leading to financial difficulties.","protection, care, innocence, joy, responsibility, expertise, love, support",event_daily_life,"Situation: You've taken your young child to the movies and they want to buy snacks from the concession stand. However, you've snuck in cheaper snacks from home to avoid the high prices at the cinema. Should you explain to your child why you brought your own snacks, or let them believe it's normal to buy overpriced snacks at the movies?
Action: Not explain and let them believe it's normal
Consequence: You allow your child to think it's normal to buy overpriced snacks at the cinema. As they grow older, they develop a habit of overspending on unnecessary items, leading to financial difficulties."
210,dd_3971_to_do,dd_3971,"John, an experienced camper, took his family on a camping trip in the wilderness. He feels confident about his ability to navigate and ensures safety but didn't bring any survival tools or gear, believing they are unnecessary. Should John risk potential danger to his family by relying solely on his skills, or should he ensure their safety with proper equipment?",Rely solely on skills,"John chose to rely solely on his skills. Unfortunately, an unexpected storm hit, causing them to lose their path. John's skills were insufficient, and they spent a cold, hungry night in the wilderness, leading to the family's distrust in him.","confidence, risk, trust, vulnerability, duty, public safety",friend,"Situation: John, an experienced camper, took his family on a camping trip in the wilderness. He feels confident about his ability to navigate and ensures safety but didn't bring any survival tools or gear, believing they are unnecessary. Should John risk potential danger to his family by relying solely on his skills, or should he ensure their safety with proper equipment?
Action: Rely solely on skills
Consequence: John chose to rely solely on his skills. Unfortunately, an unexpected storm hit, causing them to lose their path. John's skills were insufficient, and they spent a cold, hungry night in the wilderness, leading to the family's distrust in him."
211,dd_3971_not_to_do,dd_3971,"John, an experienced camper, took his family on a camping trip in the wilderness. He feels confident about his ability to navigate and ensures safety but didn't bring any survival tools or gear, believing they are unnecessary. Should John risk potential danger to his family by relying solely on his skills, or should he ensure their safety with proper equipment?",Not bring survival gear,"John didn't bring any survival gear. When young Timmy fell and sprained his ankle, John realized they had no first aid kit. Timmy's injury worsened due to lack of proper care, making the trip a traumatic experience.","dependence, resilience, care, protection",friend,"Situation: John, an experienced camper, took his family on a camping trip in the wilderness. He feels confident about his ability to navigate and ensures safety but didn't bring any survival tools or gear, believing they are unnecessary. Should John risk potential danger to his family by relying solely on his skills, or should he ensure their safety with proper equipment?
Action: Not bring survival gear
Consequence: John didn't bring any survival gear. When young Timmy fell and sprained his ankle, John realized they had no first aid kit. Timmy's injury worsened due to lack of proper care, making the trip a traumatic experience."
212,dd_3979_to_do,dd_3979,"You are a wildlife researcher studying nocturnal animals alone in the forest. Unexpectedly, you start hearing strange noises that don't match the usual sounds of nature you are familiar with, and feel a sense of danger. Should you investigate the noises possibly risking your life or ignore it potentially missing an important discovery?",Investigating the noise,"You decide to follow the sound, hoping it's a rare species. As you venture deeper into the forest, you lose your way. Suddenly, you're attacked by a large, unidentified animal. You escape with major injuries but have no way to call for help.","bravery, respect for nature, pursuit of knowledge",event_daily_life,"Situation: You are a wildlife researcher studying nocturnal animals alone in the forest. Unexpectedly, you start hearing strange noises that don't match the usual sounds of nature you are familiar with, and feel a sense of danger. Should you investigate the noises possibly risking your life or ignore it potentially missing an important discovery?
Action: Investigating the noise
Consequence: You decide to follow the sound, hoping it's a rare species. As you venture deeper into the forest, you lose your way. Suddenly, you're attacked by a large, unidentified animal. You escape with major injuries but have no way to call for help."
213,dd_3979_not_to_do,dd_3979,"You are a wildlife researcher studying nocturnal animals alone in the forest. Unexpectedly, you start hearing strange noises that don't match the usual sounds of nature you are familiar with, and feel a sense of danger. Should you investigate the noises possibly risking your life or ignore it potentially missing an important discovery?",Ignoring the noise,"Choosing safety, you ignore the sounds and return to your camp. The next morning, you find unusual tracks nearby, leading to a rare, endangered nocturnal species. You realize you missed an incredible chance to document it.","self, respect for nature",event_daily_life,"Situation: You are a wildlife researcher studying nocturnal animals alone in the forest. Unexpectedly, you start hearing strange noises that don't match the usual sounds of nature you are familiar with, and feel a sense of danger. Should you investigate the noises possibly risking your life or ignore it potentially missing an important discovery?
Action: Ignoring the noise
Consequence: Choosing safety, you ignore the sounds and return to your camp. The next morning, you find unusual tracks nearby, leading to a rare, endangered nocturnal species. You realize you missed an incredible chance to document it."
256,dd_4716_to_do,dd_4716,"You are involved in a custody battle for your child. The judge assigned to your case has exhibited questionable behavior, such as private conversations with the opposing party and inconsistent rulings. Do you request a different judge, potentially prolonging the process, or do you continue with the current judge, risking an unfair outcome?",Request a different judge,"You lodge a formal request for a new judge. The process is delayed by months, straining your resources. The new judge, unfamiliar with the case, also needs time to review the details, prolonging the ordeal. Meanwhile, your child is caught in the middle of the uncertainty.","impartiality, independence, loyalty, confidentiality, transparency",issue_pregnancy,"Situation: You are involved in a custody battle for your child. The judge assigned to your case has exhibited questionable behavior, such as private conversations with the opposing party and inconsistent rulings. Do you request a different judge, potentially prolonging the process, or do you continue with the current judge, risking an unfair outcome?
Action: Request a different judge
Consequence: You lodge a formal request for a new judge. The process is delayed by months, straining your resources. The new judge, unfamiliar with the case, also needs time to review the details, prolonging the ordeal. Meanwhile, your child is caught in the middle of the uncertainty."
257,dd_4716_not_to_do,dd_4716,"You are involved in a custody battle for your child. The judge assigned to your case has exhibited questionable behavior, such as private conversations with the opposing party and inconsistent rulings. Do you request a different judge, potentially prolonging the process, or do you continue with the current judge, risking an unfair outcome?",Continue with the current judge,"You decide to continue with the current judge, hoping for a swift resolution. However, the judge's questionable actions persist, and you lose the custody battle. The outcome seems unfair, leaving you and your child devastated.","independence, loyalty, confidentiality",issue_pregnancy,"Situation: You are involved in a custody battle for your child. The judge assigned to your case has exhibited questionable behavior, such as private conversations with the opposing party and inconsistent rulings. Do you request a different judge, potentially prolonging the process, or do you continue with the current judge, risking an unfair outcome?
Action: Continue with the current judge
Consequence: You decide to continue with the current judge, hoping for a swift resolution. However, the judge's questionable actions persist, and you lose the custody battle. The outcome seems unfair, leaving you and your child devastated."
264,dd_4797_to_do,dd_4797,"You are a married individual with children who has developed feelings for a colleague at work. This emotional affair is jeopardizing your commitment to your spouse and the welfare of your children. Should you confess your feelings to your spouse, potentially destroying your family, or suppress your emotions to maintain your family's stability?",Confessing feelings to spouse,"After confessing your feelings to your spouse, they feel betrayed and decide to file for divorce. The children are distraught, and custody battles ensue. You lose your family and home.","honesty, responsibility, trust, dignity, security, stability, professionalism",comitted_relationship,"Situation: You are a married individual with children who has developed feelings for a colleague at work. This emotional affair is jeopardizing your commitment to your spouse and the welfare of your children. Should you confess your feelings to your spouse, potentially destroying your family, or suppress your emotions to maintain your family's stability?
Action: Confessing feelings to spouse
Consequence: After confessing your feelings to your spouse, they feel betrayed and decide to file for divorce. The children are distraught, and custody battles ensue. You lose your family and home."
265,dd_4797_not_to_do,dd_4797,"You are a married individual with children who has developed feelings for a colleague at work. This emotional affair is jeopardizing your commitment to your spouse and the welfare of your children. Should you confess your feelings to your spouse, potentially destroying your family, or suppress your emotions to maintain your family's stability?",Suppressing emotions to maintain family's stability,"You decide to suppress your feelings, but over time, your emotional turmoil starts affecting your mental health. You become distant from your family, causing tension and confusion. This emotional detachment harms your relationship with your spouse and children.","self, sacrifice, trust, security, stability, professionalism",comitted_relationship,"Situation: You are a married individual with children who has developed feelings for a colleague at work. This emotional affair is jeopardizing your commitment to your spouse and the welfare of your children. Should you confess your feelings to your spouse, potentially destroying your family, or suppress your emotions to maintain your family's stability?
Action: Suppressing emotions to maintain family's stability
Consequence: You decide to suppress your feelings, but over time, your emotional turmoil starts affecting your mental health. You become distant from your family, causing tension and confusion. This emotional detachment harms your relationship with your spouse and children."
278,dd_4871_to_do,dd_4871,"You're working with a Canadian colleague who often uses humor and wit in his communication. You have started interpreting his humor as sarcasm, which is affecting your professional relationship. Do you confront him about his perceived sarcasm, potentially causing conflict, or do you ignore it, possibly leading to a misunderstanding?",Confront,"You decide to confront your Canadian colleague about his humor, he takes offense, causing a rift in your professional relationship. The tension makes collaboration difficult, impacting work productivity and team dynamics.","honesty, courage, openness, understanding, conflict resolution",friend,"Situation: You're working with a Canadian colleague who often uses humor and wit in his communication. You have started interpreting his humor as sarcasm, which is affecting your professional relationship. Do you confront him about his perceived sarcasm, potentially causing conflict, or do you ignore it, possibly leading to a misunderstanding?
Action: Confront
Consequence: You decide to confront your Canadian colleague about his humor, he takes offense, causing a rift in your professional relationship. The tension makes collaboration difficult, impacting work productivity and team dynamics."
