dilemma_id,basic_situation,dilemma_situation,topic,topic_group,action_0_id,action_1_id,action_0_description,action_1_description,action_0_consequence,action_1_consequence,action_0_values,action_1_values
dd_11514,researching before buying a large dog,"You want to adopt a large dog and have been conducting research to ensure you're fully prepared. You discover that the breed you're interested in often has severe health issues due to irresponsible breeding practices for aesthetic purposes. Do you still adopt your preferred breed knowing this could financially support unethical breeders, or choose a different breed to discourage such practices?",8,issue_wildlife_human_environment,dd_11514_to_do,dd_11514_not_to_do,Adopt Preferred Breed,Not Adopt Preferred Breed,"After adopting the large dog, you end up spending lots of money on its health issues. You realize your financial support is encouraging unethical breeders to continue their harmful practices.","Choosing a different breed, you feel guilt over not helping an innocent dog due to its breed's history. However, you are content knowing you are not supporting unethical breeders. You also save money by avoiding potential health issues.","responsibility, compassion","responsibility, compassion"
dd_12948,expecting someone to scream when a wild animal jumps on them,"A group of friends are camping in a wildlife reserve known for its high population of monkeys. One of the friends has a severe phobia of monkeys but hasn't told anyone, and suddenly, a monkey jumps on the friend, causing them to freeze instead of scream. Should the others laugh at the friend's reaction, knowing that it will make the situation lighter but might also increase their trauma?",23,friend,dd_12948_to_do,dd_12948_not_to_do,Laugh at the friend,Not laugh at the friend,"The group laughs, thinking it will lighten the mood. However, their laughter intensifies the friend's trauma, associating the monkey phobia with mockery and embarrassment. This deepens the phobia and creates trust issues within the group.","The group refrains from laughing, showing concern instead. However, this reaction reinforces the friend's fear, making them believe the situation is graver than it is. This increases their anxiety and intensifies the phobia.","understanding, compassion, respect, dignity, respect, understanding, empathy, respect, kindness, professionalism, understanding, empathy","compassion, understanding, respect, courage, dignity, self, empathy, understanding, kindness, professionalism, understanding, empathy"
dd_27431,Finding a hobby to take your mind off your problems,"You're looking for a hobby to distract from your work stress. You find that gambling is an exciting and engaging hobby, but you're aware it can lead to addiction and financial issues. Should you indulge in gambling as a hobby despite its potential harm?",53,workplace,dd_27431_to_do,dd_27431_not_to_do,Indulge in Gambling,Avoid Gambling,"As your gambling hobby escalates, you become addicted. You start draining your savings to feed the addiction, causing severe financial strain. Work productivity declines due to preoccupation with gambling, leading to job loss. Relationships strain due to overwhelming debt and broken trust.","Choosing not to gamble, you miss out on the initial thrill and excitement. You feel left out as co-workers bond over betting games. Your work stress persists as you struggle to find a suitable distraction, making your daily life more challenging.","self, trust, productivity","self, peace"
dd_41150,criticizing your employees soon after they started working for you.,You are a manager of a newly formed team and your employees are fresh graduates with no prior work experience. They are making mistakes that are affecting the productivity and efficiency of the team. Should you criticize them early on to correct their mistakes and speed up the process or should you give them time to learn on their own and improve gradually?,7,workplace,dd_41150_to_do,dd_41150_not_to_do,Criticize early on,Give time to learn,"You harshly criticize your team's mistakes. This demoralizes the team, causing decreased motivation and performance. The team feels stressed and fearful of making mistakes, stifling creativity and initiative.","You decide to let your team learn from their mistakes. However, the team's productivity and efficiency suffer in the short term. The learning curve is steep and the team's slow progress leads to missed deadlines and unhappy clients.","honesty, resilience, transparency, reliability","patience, self, patience, understanding"
dd_26337,respecting what your grandparents think about you.,"You are a young adult living in a conservative family, who believes in traditional values. You wish to pursue a career in arts, which your grandparents disapprove of, considering it unstable and non-respectable. Should you follow your passion and potentially disappoint your grandparents or conform to their expectations and pursue a more conventional career?",13,religion_custom,dd_26337_to_do,dd_26337_not_to_do,Pursue Career in Arts,Conform to Family Expectations,"You follow your passion for the arts, but your grandparents feel disappointed and alienated. They refuse to support you financially and emotionally, causing strains in your family relationships. The instability of the arts industry also stresses you out.","You pursue a conventional career to please your grandparents. However, you find no joy or fulfillment in your work. Over time, resentment builds up, leading to depression and dissatisfaction in life.","respect for tradition, harmony","duty, family unity, professionalism, honesty"
dd_18820,wanting one team to win more than the other while watching a sports game,"You're a sports journalist covering a championship game. Your childhood friend plays for one team and you secretly wish for their victory, which could compromise your impartiality. Should you disclose your personal bias to your editor or maintain professional integrity and keep it to yourself?",26,issue_young_people,dd_18820_to_do,dd_18820_not_to_do,Disclose personal bias,Keep your bias to yourself,"You decide to confess your bias to your editor. He appreciates your honesty, but to maintain the newspaper's credibility, he assigns the championship game to another journalist. Consequently, you lose a major story opportunity and your professional growth takes a hit.","You choose not to disclose your bias, ensuring you cover the game. However, your positive bias seeps into your reportage. Readers notice the partiality, leading to a loss of trust. Your reputation as an impartial journalist is compromised.","honesty, integrity, trust, fair competition, trust","professional integrity, responsibility, fairness, trust, integrity"
dd_10803,having tattoos.,"Tattoos are often seen as a form of self-expression and identity. However, in some professions, having visible tattoos can be seen as unprofessional and may affect job opportunities. Should individuals avoid getting tattoos in visible areas to increase their employability?",29,issue_self_image_social,dd_10803_to_do,dd_10803_not_to_do,Getting tattoos in visible areas,Not getting tattoos in visible areas,"John, a talented graphic designer, got a full sleeve tattoo. Though his creativity reflected in his work, many corporate clients found his visible tattoos unprofessional. Consequently, his company lost several valuable contracts, and he was demoted.","Jane, a skilled chef, decided against getting a visible tattoo despite her love for them. She felt she could express herself in other ways. This decision proved beneficial when she was selected over another equally talented chef for a high-profile job because her appearance was deemed more professional.",freedom of expression,"professionalism, prudence"
dd_29070,Being comfortable with your body in a relationship.,"You have been in a relationship with your partner for several months and feel completely comfortable with your body. However, your partner suggests you should consider losing a few pounds to look better. Should you change your body to meet your partner's expectations even if you feel comfortable with your current physique?",4,comitted_relationship,dd_29070_to_do,dd_29070_not_to_do,Changing your body,Not changing your body,"You decide to lose weight, but you're unhappy and feel pressured during the process. You start developing unhealthy eating habits and feel constantly insecure about your appearance. Your relationship with your partner strains as you resent them for your current state.","You choose not to lose weight, maintaining your body comfort. Your partner, unable to accept your decision, becomes distant and the relationship starts to deteriorate. Your partner's constant subtle reminders of your body make you feel unappreciated and less confident.","personal integrity, health, consideration, respect for individuality, support, understanding, unconditional love, acceptance","self, confidence, autonomy, acceptance, respect for individuality, empathy, unconditional love, support"
dd_1205,renewing your vows.,"Your spouse has had a severe case of amnesia after an accident and doesn't remember your past together. You wish to renew your vows, but they don't remember the original commitment and can't fully comprehend the significance of the act. Is it ethical to ask them to renew the vows in their current state?",42,religion_custom,dd_1205_to_do,dd_1205_not_to_do,Renewing Vows,Not Renewing Vows,"You decide to renew your vows. However, your spouse, unable to fully comprehend the situation due to amnesia, feels pressured and confused. This leads to stress and anxiety, straining your relationship further.","You choose not to renew your vows, hoping to avoid causing any distress. However, this decision leaves you feeling disconnected from your spouse. Your relationship lacks the reaffirmation it once had, leading to feelings of sadness and longing.","respect for autonomy, dignity","patience, understanding"
dd_39833,not keeping your political leanings out of your religious lectures.,"You're a religious leader who strongly supports a certain political party. Your congregation is made up of diverse individuals with varying political views, which you often mention in your sermons. Should you continue to express your political views in your sermons, potentially alienating some of your congregation, or should you keep your political beliefs separate to maintain unity?",13,religion_custom,dd_39833_to_do,dd_39833_not_to_do,Expressing political views in sermons,Not expressing political views in sermons,"You continue to express your political views during sermons. This leads to a division in your congregation, with those feeling alienated due to differing political beliefs. This results in dwindling attendance and donations, affecting the church's operations.","You decide to keep your political beliefs separate. While there's unity, some members perceive you as less authentic, with your silence seen as a lack of courage to stand up for your beliefs. This too leads to reduced attendance.","authenticity, tolerance, advocacy, financial stability","prudence, trust, discretion"
dd_42860,wanting to get back at your bully.,"After years of dealing with a school bully, you've finally gained some confidence and the power to stand up for yourself. You're tempted to use this new-found strength to retaliate and give the bully a taste of their own medicine, but you also understand two wrongs don't make a right. Should you retaliate against the bully to potentially stop further harassment or choose to rise above and ignore the situation?",0,school,dd_42860_to_do,dd_42860_not_to_do,Retaliation,Ignoring,"You confront the bully, a fight ensues. Although you feel a sense of satisfaction, you���re reprimanded by the school, facing suspension. The bullying worsens as the bully seeks revenge.","You choose to rise above, ignoring the bully. However, without any confrontation, the bully continues to torment you unabated, causing further emotional distress and damage to your self-esteem. The bullying continues.","courage, fear, responsibility, discipline, justice, concern, discipline, responsibility, influence, respect, fear","patience, resilience, suffering, impunity, concern, helplessness, worry, sympathy"
dd_35564,Having fun in your spare time.,"You're an avid reader and you've just found a website where you can download books for free. You know that this is illegal and it deprives authors of their rightful earnings, but you don't have much money to buy books. Should you download the books for free or save money to buy them legally?",44,event_daily_life,dd_35564_to_do,dd_35564_not_to_do,Downloading books for free,Not downloading books for free,"You decide to download the books illegally. As a result, you are caught and face hefty fines for copyright infringement. The authors who worked hard on those books receive none of the profits they deserve.","You decide to save money and buy the books legally. However, this significantly limits the quantity and variety of books you can read. You miss out on some titles that you really wanted to read, due to their high costs.","honesty, lawfulness, integrity","self, fairness, gratitude"
dd_23104,indulging your cravings while pregnant.,"During pregnancy, it is common for women to have cravings, but it's crucial to consider the potential impact on the baby's health. A pregnant woman is craving for a cigarette, a harmful substance for the unborn child, creating a dilemma between satisfying her craving and the health of her baby. Should she satisfy her craving at the risk of potentially harming her unborn child?",25,issue_pregnancy,dd_23104_to_do,dd_23104_not_to_do,Satisfying the craving,Resisting the craving,"The woman gives in to her craving and smokes a cigarette. As a result, her unborn child is exposed to harmful toxins leading to potential birth defects, low birth weight, or even premature birth.","The woman resists her craving for a cigarette, enduring an uncomfortable craving. However, she may feel guilty and stressed, which could also have negative implications for her unborn child if not well managed.",self,self
dd_22090,people wanting to improve their traits.,"In a future where genetic engineering becomes advanced and accessible, people can modify their traits for self-improvement. However, this raises ethical questions about fairness, as not everyone can afford this technology, creating a potential divide in society. Should individuals be allowed to genetically modify themselves even if it creates socio-economic disparities?",27,issue_wildlife_human_environment,dd_22090_to_do,dd_22090_not_to_do,To Genetically Modify Oneself,Not to Genetically Modify Oneself,"In a pursuit for perfection, John undergoes genetic modification. His enhanced intelligence and strength make him the envy of many. However, this fuels a societal divide as those who can't afford genetic modification are left behind, labelled as 'inferior'. The resentment breeds social unrest, leading to protests and chaos.","Jane, despite having the means, decides not to genetically modify herself. She is ridiculed and ostracized for being 'normal'. She faces discrimination in her daily life, from her workplace to social interactions, struggling to keep up with the genetically enhanced individuals in society. She feels isolated and disadvantaged, leading to mental health issues.","self, innovation, equality, justice","profit, acceptance, respect"
dd_12998,having a ritual for when you ruminate.,"You have developed a personal ritual to help manage when you ruminate, which involves going to a quiet place and meditating for a few minutes. However, one day you find yourself ruminating during an important business meeting. Do you excuse yourself from the meeting to perform your ritual, potentially disrupting the meeting and appearing unprofessional, or do you try to suppress your ruminating thoughts and risk not being fully present in the meeting?",21,issue_crime_addiction,dd_12998_to_do,dd_12998_not_to_do,Excuse yourself from the meeting to meditate,Suppress your ruminating thoughts and stay in the meeting,"You excuse yourself, causing a disruption. Colleagues perceive this as unprofessional and your reputation suffers. Your boss questions your dedication and you're overlooked for a promotion.","You attempt to suppress your thoughts, but struggle to concentrate. As a result, you miss critical information and make a mistake in your project. This negatively affects your performance review.","self, professionalism, cooperation, trust","resilience, responsibility, teamwork, commitment"
dd_34143,taking some personal time to grieve over the loss of a loved one.,"John, a devoted employee, is taking some personal time to grieve over the loss of his mother. Due to a critical project at work, his boss pressures him to cut his grieving time short and return to work. Should John prioritize his personal healing or yield to his boss's pressure and return to work earlier than planned?",42,religion_custom,dd_34143_to_do,dd_34143_not_to_do,Return to Work Early,Prioritize Personal Healing,"John returns to work early, but his grief affects his productivity and focus. He makes several mistakes on the project due to his mental state, causing delays and negative repercussions for the team.","John decides to prioritize his healing and takes the necessary time off. However, his absence at this critical time leads to his team missing project deadlines. His boss is disappointed, which affects his future career prospects.","self, professionalism, cooperation, reliability","self, empathy, teamwork, patience"
dd_32679,causing a disturbance for others education.,"In a university setting, a student has severe ADHD that makes it difficult for him to sit still and remain quiet. He often interrupts the class with outbursts and fidgeting, which distracts other students and disrupts their learning. Should the university accommodate this student's needs even if it negatively impacts other students' education?",0,school,dd_32679_to_do,dd_32679_not_to_do,Accommodate the student's needs,Not accommodate the student's needs,"The university decides to accommodate the student's needs. Although they successfully integrate him into the class, the other students become increasingly frustrated. Their learning is disrupted due to his frequent outbursts and fidgeting, and their academic performance declines as a result.","The university decides not to accommodate the student's needs. As a result, he struggles to keep up with the course material, his grades plummet, and he eventually drops out, feeling marginalized and unsupported by the institution.","right to education, responsibility","self, fairness"
dd_24291,being loyal to your family,"You are the oldest of three siblings and your parents are undocumented immigrants. Your youngest sibling was born in the country and is therefore a citizen, but your parents are at risk of deportation. Should you report your parents to the authorities to ensure your youngest sibling's rights and future in the country, or stay silent to keep your family together?",20,family,dd_24291_to_do,dd_24291_not_to_do,Reporting Parents,Keeping Silent,"If you report your parents, they may get deported. Your youngest sibling, although a citizen, will have to grow up without their parents' emotional and financial support, causing significant hardship. You and your other non-citizen sibling might also face deportation.","If you choose silence, your family remains intact but lives in constant fear of being reported by others. The stress could affect everyone's mental health and the uncertainty of your parents' status might limit opportunities for you and your siblings to thrive.","security, respect for law, child welfare","family unity, respect for law"
dd_13469,raising the billing rate of someone that used to work for you.,"You run a small business and have recently hired a former employee as an independent contractor. This individual used to be a salaried employee but now they are paid on an hourly basis and you want to raise their billing rate without discussing it with them. Should you raise their billing rate without their consent, potentially taking advantage of their past employment status?",24,business_organization,dd_13469_to_do,dd_13469_not_to_do,Raising the billing rate without consent,Not raising the billing rate without consent,You raise their billing rate without discussion. This leads to a breakdown in trust and your contractor feels exploited and quits. You lose a valuable resource and your business suffers.,You decide not to raise the rate without their knowledge. They find out about your initial intentions from another source and lose trust in your ethics. They terminate the contract leaving you short-staffed and struggling.,"honesty, trust, reliability","transparency, dignity, transparency, trust, trust"
dd_33026,using a handicapped stall if you are not handicapped.,Public restrooms often have a stall designated for handicapped individuals for their ease of access. You are not handicapped but all other stalls are occupied and you're in a hurry for an important meeting. Should you use the handicapped stall or risk being late to your meeting?,5,close_relationship,dd_33026_to_do,dd_33026_not_to_do,Using the Handicapped Stall,Not Using the Handicapped Stall,"You decide to use the handicapped stall, but as you exit, you see a handicapped person waiting, visibly upset. Your boss also sees this as he walks in, and he is disappointed with your lack of consideration.","You decide to wait for the other stalls to free up, but end up late for the meeting. Your boss is not happy with your tardiness and questions your commitment to your job.","respect for rules, empathy, dignity, respect for others, fairness, consideration, empathy","responsibility, respect for rules, commitment, dignity"
dd_35738,using gender stereotypes.,"In the advertising industry, traditional gender stereotypes are often used to appeal to certain demographics. A company is planning an advertisement campaign for a new product, but the marketing team suggests using gender stereotypes to attract more customers. Should the company prioritize ethical advertising over potential profit and refrain from using gender stereotypes in their campaign?",13,religion_custom,dd_35738_to_do,dd_35738_not_to_do,Use Gender Stereotypes,Refrain from Using Gender Stereotypes,"Following the marketing team's advice, the company uses traditional gender stereotypes in their ad campaign. Initially, sales surge, but soon, the ad receives backlash for its gender-biased content. The company's reputation is damaged, losing customers and potential partnerships. This results in a significant financial loss.","Rejecting the marketing team's suggestion, the company refrains from using gender stereotypes. Initially, sales are slow due to less attraction from their traditional demographic. However, the brand soon gains recognition for its ethical advertising, winning new customers and securing partnerships. Slowly but surely, the company's sales increase.","respect, creativity, dignity, tolerance, integrity","respect, creativity, dignity, equality, honesty"
dd_29411,watching wrestling.,"You are a parent whose child is an avid fan of wrestling. Your child often tries to imitate violent moves from the wrestling matches, leading to injuries. Do you let your child continue watching wrestling despite the risks or ban it altogether to ensure safety?",26,issue_young_people,dd_29411_to_do,dd_29411_not_to_do,Letting the child watch wrestling,Banning wrestling,"You let your child continue watching wrestling. One day, your child imitates a dangerous move and ends up breaking his arm. He is in pain and needs to spend months in recovery, missing out on school and other activities.","You ban your child from watching wrestling. This leads to resentment and rebellion, damaging your relationship. Your child secretly watches wrestling at a friend's house and without proper supervision, he gets injured while reenacting a move.","responsibility, freedom of choice, professional duty, education","authority, obedience, education, emotional well"
dd_33509,attributing your success to something you received as a gift.,"You are a successful artist who has received a special set of paint brushes as a gift. The brushes are unique and contribute significantly to your unique style, but it was your hard work and creativity that made you successful. Should you credit the gift for your success or attribute it to your own hard work and talent?",39,issue_personal_career,dd_33509_to_do,dd_33509_not_to_do,Credit the gift,Not credit the gift,"You choose to credit the brushes for your success. Soon, your work loses its authenticity, being associated more with the brushes than your talent. People start paying more attention to the tools than the artist, diminishing your artistic reputation.","You decide not to credit the brushes for your success. Some people, who know about the gift, start to accuse you of ingratitude and arrogance. This taints your public image, taking a toll on your popularity.","honesty, humility, generosity, appreciation, respect, objectivity, fairness","self, confidence, understanding, patience, loyalty, trust"
dd_2599,keeping insects out of your home,"You live in an area that is home to many endangered species of insects that are crucial to the local ecosystem. You've noticed that a few of these insects have started to invade your home, causing discomfort and potential health risks. Should you exterminate these insects to protect your home, or leave them be to preserve the local ecosystem?",51,event_daily_life,dd_2599_to_do,dd_2599_not_to_do,Exterminate the insects,Not exterminate the insects,"You decide to eradicate the insects, protecting your home and health. However, their absence disrupts the local ecosystem, leading to an overgrowth of certain plants and the extinction of some bird species that fed on those insects.","You choose to let them be, preserving the ecosystem. The insects, however, multiply rapidly and infest your home, leading to significant structural damage and potential health issues due to uncontrolled insect population.","safety, survival, balance, peace, survival","tolerance, survival, financial stability, job security, balance"
dd_3971,not making sure one's family is safe in the wilderness.,"John, an experienced camper, took his family on a camping trip in the wilderness. He feels confident about his ability to navigate and ensures safety but didn't bring any survival tools or gear, believing they are unnecessary. Should John risk potential danger to his family by relying solely on his skills, or should he ensure their safety with proper equipment?",23,friend,dd_3971_to_do,dd_3971_not_to_do,Rely solely on skills,Not bring survival gear,"John chose to rely solely on his skills. Unfortunately, an unexpected storm hit, causing them to lose their path. John's skills were insufficient, and they spent a cold, hungry night in the wilderness, leading to the family's distrust in him.","John didn't bring any survival gear. When young Timmy fell and sprained his ankle, John realized they had no first aid kit. Timmy's injury worsened due to lack of proper care, making the trip a traumatic experience.","confidence, risk, trust, vulnerability, duty, public safety","dependence, resilience, care, protection"
dd_1552,unknowingly share bodily fluids with others.,"In a community center, a flu vaccination drive is being conducted. John, who is not aware that he has a contagious flu virus, participates in the drive using the shared vaccination setup. Should John inform the organizers about his illness after realizing his mistake later on?",2,role_duty_responsibility,dd_1552_to_do,dd_1552_not_to_do,Informing the organizers,Not informing the organizers,"John informs the organizers about his flu. They have to halt the drive, disinfect the area, and inform everyone who got vaccinated about potential exposure. This causes panic and mistrust in the community, damaging the reputation of the drive.","John decides not to inform the organizers. His flu virus spreads to others who participated in the drive. The community experiences a flu outbreak, causing severe health issues and even hospitalizations.","honesty, responsibility, transparency, accountability, trust, safety, peace of mind, health, integrity","self, anxiety, accountability"
dd_13141,disregarding people's dietary needs,"A restaurant owner prides himself on serving only traditional, unaltered recipes. He refuses to offer vegan, gluten-free, or other dietary options because he believes it ruins the authenticity of the cuisine. Should he compromise his culinary values to accommodate dietary needs and preferences of his customers?",34,business_organization,dd_13141_to_do,dd_13141_not_to_do,Compromising culinary values,Not compromising culinary values,"The owner decides to offer dietary options. However, his regular customers, who loved the authenticity, start complaining about the taste change. His sales begin to decline as he loses his loyal customer base, putting him in a financial crisis.","The owner sticks to his traditional recipes. Unfortunately, he starts losing potential customers who have specific dietary needs. His restaurant gets labeled as 'inconsiderate' and 'outdated', which significantly reduces foot traffic and revenue.","adaptability, respect, loyalty, adaptability, objectivity","integrity, acceptance, consistency, dependability, objectivity"
dd_31350,paying tribute to people who died.,"In a community, it has been a tradition to pay tribute to people who died by building monuments in their names. However, the community is currently facing financial difficulties, and the funds required to continue the tradition could be used to support living community members who are in need. Should the community continue to erect monuments as a tribute to the deceased, potentially neglecting the needs of the living?",42,religion_custom,dd_31350_to_do,dd_31350_not_to_do,Continue erecting monuments,Stop erecting monuments,"The community continues to honor the tradition, constructing monuments for the deceased. However, the financial strain worsens, leading to insufficient funds for community development and welfare. The living members suffer, lacking basic necessities and support.","The community decides to stop the tradition to allocate funds for the living. This decision infuriates those who deeply value the tradition, causing division and conflict within the community. The unity of the community weakens, affecting its overall functioning.","respect for tradition, job security, financial security","financial stability, adaptability"
