row_id,wine_id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,text
73213,wine_73213,US,"Black plum and cherry aromas pick up an undergrowth hint. This is a succulent, juicy wine with a finish that tastes earthy and feels structured.",Furnace Mountain Dry,86,32.0,Virginia,Virginia,,,,8 Chains North 2010 Furnace Mountain Dry Red (Virginia),Red Blend,8 Chains North,"Wine for preference modeling. Title: 8 Chains North 2010 Furnace Mountain Dry Red (Virginia). Variety: Red Blend. Country: US. Province: Virginia. Points: 86. Price: 32.0. Description: Black plum and cherry aromas pick up an undergrowth hint. This is a succulent, juicy wine with a finish that tastes earthy and feels structured."
25285,wine_25285,Turkey,"This bright, brambly red blend of two Turkish grapes, the Öküzgözü and the Bogazkere, is brisk and bold on the palate with a striking red cherry acidity. It's delicate in fruit profile, but lushly textured with layers of fine, chalky tannins that penetrate deeply on the finish.",Buzbag Rezerv Öküzgözü Bogazkere,86,25.0,Elazığ-Diyarbakir,,,Anna Lee C. Iijima,,Kayra 2007 Buzbag Rezerv Öküzgözü Bogazkere Red (Elazığ-Diyarbakir),Red Blend,Kayra,"Wine for preference modeling. Title: Kayra 2007 Buzbag Rezerv Öküzgözü Bogazkere Red (Elazığ-Diyarbakir). Variety: Red Blend. Country: Turkey. Province: Elazığ-Diyarbakir. Points: 86. Price: 25.0. Description: This bright, brambly red blend of two Turkish grapes, the Öküzgözü and the Bogazkere, is brisk and bold on the palate with a striking red cherry acidity. It's delicate in fruit profile, but lushly textured with layers of fine, chalky tannins that penetrate deeply on the finish."
99400,wine_99400,US,"The first of the Girl Next Door wines is well done. It features a sexy, pin-up style label and good Chardonnay juice, barrel-fermented and generous. Peach and citrus fruits, with supporting acids and moderate oak flavors of buttery caramel.",The Girl Next Door ‘Roll in the Hay',88,14.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine,Alexandria Nicole 2006 The Girl Next Door ‘Roll in the Hay' Chardonnay (Columbia Valley (WA)),Chardonnay,Alexandria Nicole,"Wine for preference modeling. Title: Alexandria Nicole 2006 The Girl Next Door ‘Roll in the Hay' Chardonnay (Columbia Valley (WA)). Variety: Chardonnay. Country: US. Province: Washington. Points: 88. Price: 14.0. Description: The first of the Girl Next Door wines is well done. It features a sexy, pin-up style label and good Chardonnay juice, barrel-fermented and generous. Peach and citrus fruits, with supporting acids and moderate oak flavors of buttery caramel."
41914,wine_41914,England,"Aromatic overtones of meadow flowers with just a touch of cotton candy hover over the lemony freshness. The palate balances mellow richness with taut acidity and creates a friendly tension between those poles. There is abundant apple fruit, both tart and sweet and a clean, dry finish that accentuates autolysis.",Balfour 1503 Classic Cuvée,89,,England,,,Anne Krebiehl MW,@AnneInVino,Hush Heath Estate NV Balfour 1503 Classic Cuvée Sparkling (England),Sparkling Blend,Hush Heath Estate,"Wine for preference modeling. Title: Hush Heath Estate NV Balfour 1503 Classic Cuvée Sparkling (England). Variety: Sparkling Blend. Country: England. Province: England. Points: 89. Price: . Description: Aromatic overtones of meadow flowers with just a touch of cotton candy hover over the lemony freshness. The palate balances mellow richness with taut acidity and creates a friendly tension between those poles. There is abundant apple fruit, both tart and sweet and a clean, dry finish that accentuates autolysis."
58429,wine_58429,Italy,"Feldmarschall is a delicately fragrant white wine with soapy aromas of white flower, honeysuckle and passion fruit. There's a touch of natural rubber as well and the mouthfeel is dense and rich in glycerin.",Feldmarschall von Fenner,87,35.0,Northeastern Italy,Alto Adige,,,,Tiefenbrunner 2010 Feldmarschall von Fenner Müller-Thurgau (Alto Adige),Müller-Thurgau,Tiefenbrunner,"Wine for preference modeling. Title: Tiefenbrunner 2010 Feldmarschall von Fenner Müller-Thurgau (Alto Adige). Variety: Müller-Thurgau. Country: Italy. Province: Northeastern Italy. Points: 87. Price: 35.0. Description: Feldmarschall is a delicately fragrant white wine with soapy aromas of white flower, honeysuckle and passion fruit. There's a touch of natural rubber as well and the mouthfeel is dense and rich in glycerin."
56115,wine_56115,Spain,This Godello feels composed and solid. Dry white-fruit aromas are reticent and oily. Flavors of peach and golden apple finish with stability and a sense of class. Drink now.,,89,20.0,Northern Spain,Bierzo,,Michael Schachner,@wineschach,Pazo Pondal 2015 Godello (Bierzo),Godello,Pazo Pondal,Wine for preference modeling. Title: Pazo Pondal 2015 Godello (Bierzo). Variety: Godello. Country: Spain. Province: Northern Spain. Points: 89. Price: 20.0. Description: This Godello feels composed and solid. Dry white-fruit aromas are reticent and oily. Flavors of peach and golden apple finish with stability and a sense of class. Drink now.
88501,wine_88501,Israel,"Aromas of black cherry, saddle leather and coffee prepare the palate for flavors of raspberry, cherry, mocha, and mountainside herbs. There is a pleasing balance of grippy tannins and bright acidity, with an especially zesty flash of cherry on the finish.",Canaan,88,12.0,Galilee,,,Mike DeSimone,@worldwineguys,Dalton 2014 Canaan Red (Galilee),Red Blend,Dalton,"Wine for preference modeling. Title: Dalton 2014 Canaan Red (Galilee). Variety: Red Blend. Country: Israel. Province: Galilee. Points: 88. Price: 12.0. Description: Aromas of black cherry, saddle leather and coffee prepare the palate for flavors of raspberry, cherry, mocha, and mountainside herbs. There is a pleasing balance of grippy tannins and bright acidity, with an especially zesty flash of cherry on the finish."
123027,wine_123027,US,"This is an unusual blend of 72% Syrah with the rest equal parts Mourvèdre and Cabernet Sauvignon. It largely works, with aromas of black pepper, cocoa, coffee, herbs and brown spices. The cranberry and meat flavors offer a sense of balance and restraint along with a pleasing mouthfeel and flavors that linger.",Sophia,90,29.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Mosquito Fleet 2011 Sophia Red (Columbia Valley (WA)),Red Blend,Mosquito Fleet,"Wine for preference modeling. Title: Mosquito Fleet 2011 Sophia Red (Columbia Valley (WA)). Variety: Red Blend. Country: US. Province: Washington. Points: 90. Price: 29.0. Description: This is an unusual blend of 72% Syrah with the rest equal parts Mourvèdre and Cabernet Sauvignon. It largely works, with aromas of black pepper, cocoa, coffee, herbs and brown spices. The cranberry and meat flavors offer a sense of balance and restraint along with a pleasing mouthfeel and flavors that linger."
39220,wine_39220,Italy,"Forest floor, new leather, tobacco and crushed herb aromas emerge in the glass. It's youthfully austere and a bit lean, with sour cherry, pomegranate, sage and white pepper framed in vibrant acidity and assertive fine-grained tannins. Drink 2023–2035.",Bussia,89,,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Arnaldo Rivera 2013 Bussia  (Barolo),Nebbiolo,Arnaldo Rivera,"Wine for preference modeling. Title: Arnaldo Rivera 2013 Bussia (Barolo). Variety: Nebbiolo. Country: Italy. Province: Piedmont. Points: 89. Price: . Description: Forest floor, new leather, tobacco and crushed herb aromas emerge in the glass. It's youthfully austere and a bit lean, with sour cherry, pomegranate, sage and white pepper framed in vibrant acidity and assertive fine-grained tannins. Drink 2023–2035."
111852,wine_111852,Chile,"Good body and a fair amount of richness here. The nose is on the heavier, rubbery side, and it dulls down rather than expands. On the palate, Huique is warm, sweet, figgy and a little syrupy, with soft fruit and a touch of bitterness on the finish.",,86,13.0,Colchagua Valley,,,Michael Schachner,@wineschach,El Huique 2007 Carmenère (Colchagua Valley),Carmenère,El Huique,"Wine for preference modeling. Title: El Huique 2007 Carmenère (Colchagua Valley). Variety: Carmenère. Country: Chile. Province: Colchagua Valley. Points: 86. Price: 13.0. Description: Good body and a fair amount of richness here. The nose is on the heavier, rubbery side, and it dulls down rather than expands. On the palate, Huique is warm, sweet, figgy and a little syrupy, with soft fruit and a touch of bitterness on the finish."
34869,wine_34869,South Africa,"Winemaker: Gordon Newton Johnson. Herbal streaks of foliage and earthy spice frame the core raspberry, cherry and game tones of this pretty Pinot. It's lightweight and easy drinking, with soft tannins and ripe red-fruit flavors that are accented by notes of Dr. Pepper and forest floor. Though it's approachable and drinkable now, it should also cellar well through 2020.",Cape Winemakers Guild Seadragon,90,,Hemel en Aarde,,,Lauren Buzzeo,@laurbuzz,Newton Johnson 2015 Cape Winemakers Guild Seadragon Pinot Noir (Hemel en Aarde),Pinot Noir,Newton Johnson,"Wine for preference modeling. Title: Newton Johnson 2015 Cape Winemakers Guild Seadragon Pinot Noir (Hemel en Aarde). Variety: Pinot Noir. Country: South Africa. Province: Hemel en Aarde. Points: 90. Price: . Description: Winemaker: Gordon Newton Johnson. Herbal streaks of foliage and earthy spice frame the core raspberry, cherry and game tones of this pretty Pinot. It's lightweight and easy drinking, with soft tannins and ripe red-fruit flavors that are accented by notes of Dr. Pepper and forest floor. Though it's approachable and drinkable now, it should also cellar well through 2020."
113264,wine_113264,Portugal,"A fruity red, with jammy plum flavors and a smooth texture. The wine shows some of the elegance for which Taylor Fladgate is famed, while also offering a rich aftertaste.",Fine Ruby,87,,Port,,,Roger Voss,@vossroger,Taylor Fladgate NV Fine Ruby  (Port),Port,Taylor Fladgate,"Wine for preference modeling. Title: Taylor Fladgate NV Fine Ruby (Port). Variety: Port. Country: Portugal. Province: Port. Points: 87. Price: . Description: A fruity red, with jammy plum flavors and a smooth texture. The wine shows some of the elegance for which Taylor Fladgate is famed, while also offering a rich aftertaste."
55613,wine_55613,Croatia,"From the island of Hvar, this wine has aromas of Chinese tea and cranberry juice. There's also a pleasant feral note in the complex bouquet. It has flavors of cranberry juice and black cherry tart with grippy tannins and a persistent finish.",Plovac Polški,88,27.0,Hvar,,,Jeff Jenssen,@worldwineguys,Carić 2008 Plovac Polški Plavac Mali (Hvar),Plavac Mali,Carić,"Wine for preference modeling. Title: Carić 2008 Plovac Polški Plavac Mali (Hvar). Variety: Plavac Mali. Country: Croatia. Province: Hvar. Points: 88. Price: 27.0. Description: From the island of Hvar, this wine has aromas of Chinese tea and cranberry juice. There's also a pleasant feral note in the complex bouquet. It has flavors of cranberry juice and black cherry tart with grippy tannins and a persistent finish."
42052,wine_42052,Greece,"This rare Greek variety expresses itself here with aromas of lime and quince, and fresh green flavors of citrus and cucumber. Refreshing but also creamy. A unique wine that will pair well with grilled fish or octopus.",The Gift of Dionysos,85,23.0,Greece,,,Susan Kostrzewa,@suskostrzewa,A. Parparoussis 2009 The Gift of Dionysos Sideritis (Greece),Sideritis,A. Parparoussis,"Wine for preference modeling. Title: A. Parparoussis 2009 The Gift of Dionysos Sideritis (Greece). Variety: Sideritis. Country: Greece. Province: Greece. Points: 85. Price: 23.0. Description: This rare Greek variety expresses itself here with aromas of lime and quince, and fresh green flavors of citrus and cucumber. Refreshing but also creamy. A unique wine that will pair well with grilled fish or octopus."
70042,wine_70042,Romania,"This slightly sweet Moscato has aromas of fresh cut pineapple, magnolia, peaches, honeysuckle and dried anise seed. The palate gets lychee and apricot.",Dreambird,86,7.0,Viile Timisului,,,Jeff Jenssen,@worldwineguys,Cramele Recas 2014 Dreambird Moscato (Viile Timisului),Moscato,Cramele Recas,"Wine for preference modeling. Title: Cramele Recas 2014 Dreambird Moscato (Viile Timisului). Variety: Moscato. Country: Romania. Province: Viile Timisului. Points: 86. Price: 7.0. Description: This slightly sweet Moscato has aromas of fresh cut pineapple, magnolia, peaches, honeysuckle and dried anise seed. The palate gets lychee and apricot."
83535,wine_83535,France,"This is a straightforward but easy-to-enjoy selection, boasting upfront aromas and flavors of peach, watermelon rind and white currant. Light weight and bright in mouthwatering acidity, a hint of fresh-cut grass graces the clean finish.",Lily Pad Pink,85,14.0,Languedoc-Roussillon,Pays d'Oc,,Lauren Buzzeo,@laurbuzz,Arrogant Frog 2015 Lily Pad Pink Rosé (Pays d'Oc),Rosé,Arrogant Frog,"Wine for preference modeling. Title: Arrogant Frog 2015 Lily Pad Pink Rosé (Pays d'Oc). Variety: Rosé. Country: France. Province: Languedoc-Roussillon. Points: 85. Price: 14.0. Description: This is a straightforward but easy-to-enjoy selection, boasting upfront aromas and flavors of peach, watermelon rind and white currant. Light weight and bright in mouthwatering acidity, a hint of fresh-cut grass graces the clean finish."
38112,wine_38112,Austria,Composer Joseph Haydn was the court composer for the Esterházy family which still owns this winery. This strongly wood-aged wine has its own elegance and style with fruit coming through strongly from under the darker exterior. Give this finely structured wine time and drink from 2017.,Haydn,90,,Burgenland,,,Roger Voss,@vossroger,Esterházy 2009 Haydn Merlot (Burgenland),Merlot,Esterházy,Wine for preference modeling. Title: Esterházy 2009 Haydn Merlot (Burgenland). Variety: Merlot. Country: Austria. Province: Burgenland. Points: 90. Price: . Description: Composer Joseph Haydn was the court composer for the Esterházy family which still owns this winery. This strongly wood-aged wine has its own elegance and style with fruit coming through strongly from under the darker exterior. Give this finely structured wine time and drink from 2017.
72603,wine_72603,Spain,"Add Aurora to your list of dry Sherries that won't steer you wrong. It is a concentrated, slightly more powerful style of manzanilla with pear, pepper and rosemary aromas as well as a true, refined palate. Flavors of fresh mushroom and nuts are dry and just fruity enough. Like a kiss from the sea.",Aurora Manzanilla Extra Dry,89,13.0,Andalucia,Jerez,,Michael Schachner,@wineschach,Pedro Romero NV Aurora Manzanilla Extra Dry Sherry (Jerez),Sherry,Pedro Romero,"Wine for preference modeling. Title: Pedro Romero NV Aurora Manzanilla Extra Dry Sherry (Jerez). Variety: Sherry. Country: Spain. Province: Andalucia. Points: 89. Price: 13.0. Description: Add Aurora to your list of dry Sherries that won't steer you wrong. It is a concentrated, slightly more powerful style of manzanilla with pear, pepper and rosemary aromas as well as a true, refined palate. Flavors of fresh mushroom and nuts are dry and just fruity enough. Like a kiss from the sea."
100376,wine_100376,France,A firm and tannic wine from the most northerly of the Beaujolais cru villages near Bourgogne. Blackberry fruit and juicy acidity are a balance to this initially severe wine. Its dry core and mineral texture show that this wine will need to age. Drink from 2018.,,92,29.0,Beaujolais,Saint-Amour,,Roger Voss,@vossroger,Trenel Fils 2015  Saint-Amour,Gamay,Trenel Fils,Wine for preference modeling. Title: Trenel Fils 2015 Saint-Amour. Variety: Gamay. Country: France. Province: Beaujolais. Points: 92. Price: 29.0. Description: A firm and tannic wine from the most northerly of the Beaujolais cru villages near Bourgogne. Blackberry fruit and juicy acidity are a balance to this initially severe wine. Its dry core and mineral texture show that this wine will need to age. Drink from 2018.
18349,wine_18349,US,"Made with undisclosed grape varieties, this rustic, softly sweet wine has apricot, honey and herb flavors.",Angel Food,82,14.0,California,California,California Other,,,Cupcake 2010 Angel Food White (California),White Blend,Cupcake,"Wine for preference modeling. Title: Cupcake 2010 Angel Food White (California). Variety: White Blend. Country: US. Province: California. Points: 82. Price: 14.0. Description: Made with undisclosed grape varieties, this rustic, softly sweet wine has apricot, honey and herb flavors."
75164,wine_75164,US,"Outspoken, delineated notes of candied lemon and peach meld with a bold aroma of lychee. The attack feels a touch slack, but the acids slowly gain steam across the palate, giving the wine a sense of delayed energy.",,84,38.0,Arizona,Cochise County,,,,Pillsbury 2011 Symphony (Cochise County),Symphony,Pillsbury,"Wine for preference modeling. Title: Pillsbury 2011 Symphony (Cochise County). Variety: Symphony. Country: US. Province: Arizona. Points: 84. Price: 38.0. Description: Outspoken, delineated notes of candied lemon and peach meld with a bold aroma of lychee. The attack feels a touch slack, but the acids slowly gain steam across the palate, giving the wine a sense of delayed energy."
108962,wine_108962,US,"There's a solid grip to this blend of 54% Aglianico, 21% Montepulciano, 14% Tempranillo and 11% Barbera. Bramble berries and earthy geraniums give this medium-bodied red some interest.",Stampede,85,20.0,Texas,Texas High Plains,,Alexander Peartree,,THP 2013 Stampede Red (Texas High Plains),Red Blend,THP,"Wine for preference modeling. Title: THP 2013 Stampede Red (Texas High Plains). Variety: Red Blend. Country: US. Province: Texas. Points: 85. Price: 20.0. Description: There's a solid grip to this blend of 54% Aglianico, 21% Montepulciano, 14% Tempranillo and 11% Barbera. Bramble berries and earthy geraniums give this medium-bodied red some interest."
128748,wine_128748,Uruguay,"Dusty black-fruit aromas set up a palate that's full in body, with soft tannins and punchy acidity. A crisp, toasty and lightly blackened flavor profile ends with some complexity and length. Drink this elegant and well-made Tannat through 2020.",Deicas,90,24.0,Uruguay,,,Michael Schachner,@wineschach,Familia Deicas 2015 Deicas Tannat (Uruguay),Tannat,Familia Deicas,"Wine for preference modeling. Title: Familia Deicas 2015 Deicas Tannat (Uruguay). Variety: Tannat. Country: Uruguay. Province: Uruguay. Points: 90. Price: 24.0. Description: Dusty black-fruit aromas set up a palate that's full in body, with soft tannins and punchy acidity. A crisp, toasty and lightly blackened flavor profile ends with some complexity and length. Drink this elegant and well-made Tannat through 2020."
47643,wine_47643,US,"Despite its time in bottle, this wine has years to go before it sleeps. It still needs further integration of its substantial body of tannin and tobacco within the layers of sanguine game, pencil lead and plum. In addition, it would benefit from being enjoyed with food, preferably medium-rare steak. Drink now through 2021.",Tradition,92,90.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Tobacco Road 2006 Tradition Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Tobacco Road,"Wine for preference modeling. Title: Tobacco Road 2006 Tradition Cabernet Sauvignon (Napa Valley). Variety: Cabernet Sauvignon. Country: US. Province: California. Points: 92. Price: 90.0. Description: Despite its time in bottle, this wine has years to go before it sleeps. It still needs further integration of its substantial body of tannin and tobacco within the layers of sanguine game, pencil lead and plum. In addition, it would benefit from being enjoyed with food, preferably medium-rare steak. Drink now through 2021."
19064,wine_19064,US,"Baby Bear is a collaboration between Eric Dunham and the actor Kyle MacLachlan, styled as a lighter version of their Pursued by Bear Syrah. This is a most enjoyable wine, with a big yum factor from the generous barrel scents and flavors. Toasty, smoky, a bit astringent, but beautifully streamlined, it displays a full array of black fruits, adorned with lots of dusty, toasty barrel highlights.",,91,48.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine,Baby Bear 2009 Syrah (Columbia Valley (WA)),Syrah,Baby Bear,"Wine for preference modeling. Title: Baby Bear 2009 Syrah (Columbia Valley (WA)). Variety: Syrah. Country: US. Province: Washington. Points: 91. Price: 48.0. Description: Baby Bear is a collaboration between Eric Dunham and the actor Kyle MacLachlan, styled as a lighter version of their Pursued by Bear Syrah. This is a most enjoyable wine, with a big yum factor from the generous barrel scents and flavors. Toasty, smoky, a bit astringent, but beautifully streamlined, it displays a full array of black fruits, adorned with lots of dusty, toasty barrel highlights."
80832,wine_80832,Italy,"Made with 100% Chardonnay, this creamy sparkler opens with aromas of hawthorn, peach and a whiff of bread crust. The palate reveals candied nectarine zest and golden apple alongside a soft perlage. It ends on a note of white almond.",Saten,89,35.0,Lombardy,Franciacorta,,Kerin O’Keefe,@kerinokeefe,Lantieri de Paratico NV Saten Chardonnay (Franciacorta),Chardonnay,Lantieri de Paratico,"Wine for preference modeling. Title: Lantieri de Paratico NV Saten Chardonnay (Franciacorta). Variety: Chardonnay. Country: Italy. Province: Lombardy. Points: 89. Price: 35.0. Description: Made with 100% Chardonnay, this creamy sparkler opens with aromas of hawthorn, peach and a whiff of bread crust. The palate reveals candied nectarine zest and golden apple alongside a soft perlage. It ends on a note of white almond."
95715,wine_95715,Canada,"With over 80 apples used to produce each bottle, there's no question as to what the dominating fruit character is here. Aromas of apple skins, clove and ginger on the nose transition to flavors of candied apple, white grape and honeyed apricot in the sticky, viscous mouth. Long and lingering on the finish; a dessert wine sure to please those with a sweet tooth.",Ice Apple Wine,89,33.0,Canada Other,Canada,,Lauren Buzzeo,@laurbuzz,Domaine Pinnacle NV Ice Apple Wine Apple (Canada),Apple,Domaine Pinnacle,"Wine for preference modeling. Title: Domaine Pinnacle NV Ice Apple Wine Apple (Canada). Variety: Apple. Country: Canada. Province: Canada Other. Points: 89. Price: 33.0. Description: With over 80 apples used to produce each bottle, there's no question as to what the dominating fruit character is here. Aromas of apple skins, clove and ginger on the nose transition to flavors of candied apple, white grape and honeyed apricot in the sticky, viscous mouth. Long and lingering on the finish; a dessert wine sure to please those with a sweet tooth."
11150,wine_11150,,"A blend of 85% Melnik, 10% Grenache Noir and 5% Petit Verdot, this wine has aromas of saddle leather, cassis and dark chocolate. In the mouth there are flavors of cherry, chocolate and dried blueberry. It has good balance with a soft tannic finish.",,89,20.0,,,,Jeff Jenssen,@worldwineguys,Orbelus 2013 Melnik,Melnik,Orbelus,"Wine for preference modeling. Title: Orbelus 2013 Melnik. Variety: Melnik. Country: . Province: . Points: 89. Price: 20.0. Description: A blend of 85% Melnik, 10% Grenache Noir and 5% Petit Verdot, this wine has aromas of saddle leather, cassis and dark chocolate. In the mouth there are flavors of cherry, chocolate and dried blueberry. It has good balance with a soft tannic finish."
