row_id,movie_id,title,genres,plot_summary,director,stars,text,rating_count
45719,169906,The Night Of (2016),Crime|Drama,"The Night Of is a crime drama miniseries that follows the story of a young man named Nasir Khan who becomes the prime suspect in a murder investigation after a night of partying with a mysterious woman. As Nasir navigates the criminal justice system and faces the harsh realities of prison life, the series explores themes of innocence, guilt, and the complexities of the legal system. Created by Richard Price and Steven Zaillian, the show offers a gripping and suspenseful narrative.","Richard Price, Steven Zaillian","Riz Ahmed, John Turturro, Bill Camp","Movie for preference modeling. Title: The Night Of (2016). Genres: Crime|Drama. Director: Richard Price, Steven Zaillian. Stars: Riz Ahmed, John Turturro, Bill Camp. Plot summary: The Night Of is a crime drama miniseries that follows the story of a young man named Nasir Khan who becomes the prime suspect in a murder investigation after a night of partying with a mysterious woman. As Nasir navigates the criminal justice system and faces the harsh realities of prison life, the series explores themes of innocence, guilt, and the complexities of the legal system. Created by Richard Price and Steven Zaillian, the show offers a gripping and suspenseful narrative.",1137
996,1019,"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi,"Based on Jules Verne's novel, '20,000 Leagues Under the Sea' follows a marine biologist, a harpooner, and a shipwrecked sailor who are taken captive by the enigmatic Captain Nemo aboard his advanced submarine, the Nautilus. Directed by Richard Fleischer, this adventure film stars Kirk Douglas, James Mason, and Paul Lukas.",Richard Fleischer,"Kirk Douglas, James Mason, Paul Lukas","Movie for preference modeling. Title: 20,000 Leagues Under the Sea (1954). Genres: Adventure|Drama|Sci-Fi. Director: Richard Fleischer. Stars: Kirk Douglas, James Mason, Paul Lukas. Plot summary: Based on Jules Verne's novel, '20,000 Leagues Under the Sea' follows a marine biologist, a harpooner, and a shipwrecked sailor who are taken captive by the enigmatic Captain Nemo aboard his advanced submarine, the Nautilus. Directed by Richard Fleischer, this adventure film stars Kirk Douglas, James Mason, and Paul Lukas.",6375
4,5,Father of the Bride Part II (1995),Comedy,"In 'Father of the Bride Part II', George Banks is shocked to learn that his wife Nina is pregnant, just as their daughter Annie is also expecting a baby. George struggles to come to terms with becoming a father again at his age, while dealing with the chaos of planning two simultaneous baby showers and managing the expectations of his family. As the due dates approach, George must navigate the challenges of impending fatherhood once more, balancing his own anxieties with the excitement and love that comes with expanding his family.",Charles Shyer,"Steve Martin, Diane Keaton, Martin Short","Movie for preference modeling. Title: Father of the Bride Part II (1995). Genres: Comedy. Director: Charles Shyer. Stars: Steve Martin, Diane Keaton, Martin Short. Plot summary: In 'Father of the Bride Part II', George Banks is shocked to learn that his wife Nina is pregnant, just as their daughter Annie is also expecting a baby. George struggles to come to terms with becoming a father again at his age, while dealing with the chaos of planning two simultaneous baby showers and managing the expectations of his family. As the due dates approach, George must navigate the challenges of impending fatherhood once more, balancing his own anxieties with the excitement and love that comes with expanding his family.",13154
12508,60487,"It's the Great Pumpkin, Charlie Brown (1966)",Animation|Children|Comedy,"'It's the Great Pumpkin, Charlie Brown' is a beloved animated television special based on the 'Peanuts' comic strip by Charles M. Schulz. Directed by Bill Melendez, the story follows Charlie Brown and his friends as they celebrate Halloween, with Charlie Brown eagerly awaiting the arrival of the Great Pumpkin. The special captures the essence of friendship, imagination, and the spirit of the holiday season.",Bill Melendez,"Peter Robbins, Christopher Shea, Sally Dryer","Movie for preference modeling. Title: It's the Great Pumpkin, Charlie Brown (1966). Genres: Animation|Children|Comedy. Director: Bill Melendez. Stars: Peter Robbins, Christopher Shea, Sally Dryer. Plot summary: 'It's the Great Pumpkin, Charlie Brown' is a beloved animated television special based on the 'Peanuts' comic strip by Charles M. Schulz. Directed by Bill Melendez, the story follows Charlie Brown and his friends as they celebrate Halloween, with Charlie Brown eagerly awaiting the arrival of the Great Pumpkin. The special captures the essence of friendship, imagination, and the spirit of the holiday season.",1072
56558,192803,Bohemian Rhapsody (2018),Drama,"This biographical film chronicles the rise of the legendary band Queen and its enigmatic lead singer Freddie Mercury. From the band's formation to their iconic performance at Live Aid, the movie captures the triumphs and struggles of Mercury and his bandmates. Filled with electrifying music and powerful performances, the film pays tribute to Queen's enduring legacy.",Bryan Singer,"Rami Malek, Lucy Boynton, Gwilym Lee","Movie for preference modeling. Title: Bohemian Rhapsody (2018). Genres: Drama. Director: Bryan Singer. Stars: Rami Malek, Lucy Boynton, Gwilym Lee. Plot summary: This biographical film chronicles the rise of the legendary band Queen and its enigmatic lead singer Freddie Mercury. From the band's formation to their iconic performance at Live Aid, the movie captures the triumphs and struggles of Mercury and his bandmates. Filled with electrifying music and powerful performances, the film pays tribute to Queen's enduring legacy.",5193
950,971,Cat on a Hot Tin Roof (1958),Drama,"Cat on a Hot Tin Roof explores the complex relationships and hidden secrets within a wealthy Southern family. The film delves into themes of greed, desire, and mendacity as the characters navigate a web of lies and emotional turmoil. Through intense confrontations and emotional revelations, the movie exposes the raw emotions and simmering tensions simmering beneath the surface of the family dynamics.",Richard Brooks,"Elizabeth Taylor, Paul Newman, Burl Ives","Movie for preference modeling. Title: Cat on a Hot Tin Roof (1958). Genres: Drama. Director: Richard Brooks. Stars: Elizabeth Taylor, Paul Newman, Burl Ives. Plot summary: Cat on a Hot Tin Roof explores the complex relationships and hidden secrets within a wealthy Southern family. The film delves into themes of greed, desire, and mendacity as the characters navigate a web of lies and emotional turmoil. Through intense confrontations and emotional revelations, the movie exposes the raw emotions and simmering tensions simmering beneath the surface of the family dynamics.",3339
74542,244178,The Northman,Adventure|Drama|Thriller,Plot summary not available.,Robert Eggers,"Alexander Skarsgård, Anya Taylor-Joy, Nicole Kidman","Movie for preference modeling. Title: The Northman. Genres: Adventure|Drama|Thriller. Director: Robert Eggers. Stars: Alexander Skarsgård, Anya Taylor-Joy, Nicole Kidman. Plot summary: Plot summary not available.",1206
1342,1378,Young Guns (1988),Action|Comedy|Western,"'Young Guns' follows the story of Billy the Kid and his gang of outlaws as they navigate the dangerous landscape of the Wild West. Faced with lawmen, rival gangs, and internal conflicts, Billy and his companions must rely on their wits and skills to survive in a world where violence and betrayal lurk around every corner. This action-packed Western captures the spirit of rebellion and camaraderie among its young protagonists.",Christopher Cain,"Emilio Estevez, Kiefer Sutherland, Lou Diamond Phillips","Movie for preference modeling. Title: Young Guns (1988). Genres: Action|Comedy|Western. Director: Christopher Cain. Stars: Emilio Estevez, Kiefer Sutherland, Lou Diamond Phillips. Plot summary: 'Young Guns' follows the story of Billy the Kid and his gang of outlaws as they navigate the dangerous landscape of the Wild West. Faced with lawmen, rival gangs, and internal conflicts, Billy and his companions must rely on their wits and skills to survive in a world where violence and betrayal lurk around every corner. This action-packed Western captures the spirit of rebellion and camaraderie among its young protagonists.",7185
20127,104283,"Wind Rises, The (Kaze tachinu) (2013)",Animation|Drama|Romance,"This animated drama chronicles the life of Jiro Horikoshi, a brilliant aircraft designer who dreams of creating beautiful planes. Set against the backdrop of pre-World War II Japan, Jiro navigates personal and professional challenges as he strives to achieve his vision while grappling with the moral implications of his creations. The film poignantly explores themes of art, ambition, and the cost of innovation in a world on the brink of war.",Hayao Miyazaki,"Hideaki Anno, Miori Takimoto, Hidetoshi Nishijima","Movie for preference modeling. Title: Wind Rises, The (Kaze tachinu) (2013). Genres: Animation|Drama|Romance. Director: Hayao Miyazaki. Stars: Hideaki Anno, Miori Takimoto, Hidetoshi Nishijima. Plot summary: This animated drama chronicles the life of Jiro Horikoshi, a brilliant aircraft designer who dreams of creating beautiful planes. Set against the backdrop of pre-World War II Japan, Jiro navigates personal and professional challenges as he strives to achieve his vision while grappling with the moral implications of his creations. The film poignantly explores themes of art, ambition, and the cost of innovation in a world on the brink of war.",2177
12093,57532,Meet the Spartans (2008),Comedy,"Meet the Spartans is a parody film that spoofs various pop culture references and the movie 300. Directed by Jason Friedberg and Aaron Seltzer, the movie is known for its slapstick humor and satirical take on epic films. The top 3 starring actors are Sean Maguire, Carmen Electra, and Ken Davitian.","Jason Friedberg, Aaron Seltzer","Sean Maguire, Carmen Electra, Ken Davitian","Movie for preference modeling. Title: Meet the Spartans (2008). Genres: Comedy. Director: Jason Friedberg, Aaron Seltzer. Stars: Sean Maguire, Carmen Electra, Ken Davitian. Plot summary: Meet the Spartans is a parody film that spoofs various pop culture references and the movie 300. Directed by Jason Friedberg and Aaron Seltzer, the movie is known for its slapstick humor and satirical take on epic films. The top 3 starring actors are Sean Maguire, Carmen Electra, and Ken Davitian.",1139
1937,2026,Disturbing Behavior (1998),Horror|Thriller,"In the sci-fi thriller 'Disturbing Behavior,' a new student named Steve uncovers a dark secret in the seemingly perfect town of Cradle Bay. He discovers that the local high school students are being subjected to a mind-control experiment that eliminates 'undesirable' behavior. As Steve digs deeper, he must navigate a web of deception and danger to expose the sinister truth.",David Nutter,"James Marsden, Katie Holmes, Nick Stahl","Movie for preference modeling. Title: Disturbing Behavior (1998). Genres: Horror|Thriller. Director: David Nutter. Stars: James Marsden, Katie Holmes, Nick Stahl. Plot summary: In the sci-fi thriller 'Disturbing Behavior,' a new student named Steve uncovers a dark secret in the seemingly perfect town of Cradle Bay. He discovers that the local high school students are being subjected to a mind-control experiment that eliminates 'undesirable' behavior. As Steve digs deeper, he must navigate a web of deception and danger to expose the sinister truth.",1334
992,1015,Homeward Bound: The Incredible Journey (1993),Adventure|Children|Drama,"Homeward Bound: The Incredible Journey is a heartwarming adventure film that follows the journey of three pets - Chance, a fun-loving American Bulldog, Shadow, a wise Golden Retriever, and Sassy, a sassy Himalayan cat - as they travel through the wilderness to reunite with their family. The animals face various challenges and dangers along the way, but their loyalty and determination showcase the enduring bond between pets and their human companions.",Duwayne Dunham,"Michael J. Fox, Sally Field, Don Ameche","Movie for preference modeling. Title: Homeward Bound: The Incredible Journey (1993). Genres: Adventure|Children|Drama. Director: Duwayne Dunham. Stars: Michael J. Fox, Sally Field, Don Ameche. Plot summary: Homeward Bound: The Incredible Journey is a heartwarming adventure film that follows the journey of three pets - Chance, a fun-loving American Bulldog, Shadow, a wise Golden Retriever, and Sassy, a sassy Himalayan cat - as they travel through the wilderness to reunite with their family. The animals face various challenges and dangers along the way, but their loyalty and determination showcase the enduring bond between pets and their human companions.",4210
3775,3877,Supergirl (1984),Action|Adventure|Fantasy,"Supergirl follows the adventures of Kara Zor-El, the cousin of Superman, who escapes Krypton's destruction to Earth. Upon arriving, she must protect a powerful orb from falling into the hands of the evil sorceress Selena. With her newfound powers, Supergirl battles Selena and her minions to save the world from destruction.",Jeannot Szwarc,"Helen Slater, Faye Dunaway, Peter O'Toole","Movie for preference modeling. Title: Supergirl (1984). Genres: Action|Adventure|Fantasy. Director: Jeannot Szwarc. Stars: Helen Slater, Faye Dunaway, Peter O'Toole. Plot summary: Supergirl follows the adventures of Kara Zor-El, the cousin of Superman, who escapes Krypton's destruction to Earth. Upon arriving, she must protect a powerful orb from falling into the hands of the evil sorceress Selena. With her newfound powers, Supergirl battles Selena and her minions to save the world from destruction.",1334
7013,7137,"Cooler, The (2003)",Comedy|Drama|Romance,The Cooler is a romantic drama film that tells the story of a professional,Wayne Kramer,"William H. Macy, Alec Baldwin, Maria Bello","Movie for preference modeling. Title: Cooler, The (2003). Genres: Comedy|Drama|Romance. Director: Wayne Kramer. Stars: William H. Macy, Alec Baldwin, Maria Bello. Plot summary: The Cooler is a romantic drama film that tells the story of a professional",1828
2170,2261,One Crazy Summer (1986),Comedy,"One Crazy Summer is a comedy film directed by Savage Steve Holland. The film follows a recent high school graduate who embarks on a wacky summer adventure on Nantucket Island. Alongside his friends, he gets entangled in bizarre situations, including a boat race against his rival and a quest to save a local business. One Crazy Summer is a zany and light-hearted comedy that captures the spirit of youthful exuberance.",Savage Steve Holland,"John Cusack, Demi Moore, Curtis Armstrong","Movie for preference modeling. Title: One Crazy Summer (1986). Genres: Comedy. Director: Savage Steve Holland. Stars: John Cusack, Demi Moore, Curtis Armstrong. Plot summary: One Crazy Summer is a comedy film directed by Savage Steve Holland. The film follows a recent high school graduate who embarks on a wacky summer adventure on Nantucket Island. Alongside his friends, he gets entangled in bizarre situations, including a boat race against his rival and a quest to save a local business. One Crazy Summer is a zany and light-hearted comedy that captures the spirit of youthful exuberance.",1202
9757,32460,Knockin' on Heaven's Door (1997),Action|Comedy|Crime|Drama,"Knockin' on Heaven's Door is a German crime comedy-drama that follows the unlikely friendship between two terminally ill men, Martin and Rudi, who embark on a road trip to fulfill their final wishes. As they journey across Germany, they encounter a mix of humorous and touching moments, reflecting on life, regrets, and the pursuit of redemption. The film's poignant exploration of friendship and mortality is underscored by a memorable soundtrack and compelling performances.",Thomas Jahn,"Til Schweiger, Jan Josef Liefers, Rutger Hauer","Movie for preference modeling. Title: Knockin' on Heaven's Door (1997). Genres: Action|Comedy|Crime|Drama. Director: Thomas Jahn. Stars: Til Schweiger, Jan Josef Liefers, Rutger Hauer. Plot summary: Knockin' on Heaven's Door is a German crime comedy-drama that follows the unlikely friendship between two terminally ill men, Martin and Rudi, who embark on a road trip to fulfill their final wishes. As they journey across Germany, they encounter a mix of humorous and touching moments, reflecting on life, regrets, and the pursuit of redemption. The film's poignant exploration of friendship and mortality is underscored by a memorable soundtrack and compelling performances.",1002
8195,8908,Ladder 49 (2004),Action|Drama|Thriller,"Ladder 49 follows the life of firefighter Jack Morrison as he reflects on his career while trapped in a burning building. The film showcases the camaraderie and sacrifices of firefighters as they risk their lives to save others. Through flashbacks, we see Jack's journey from rookie to seasoned firefighter, highlighting the emotional toll the job takes on him and his family. The movie explores themes of bravery, brotherhood, and the impact of a dangerous profession on personal relationships.",Jay Russell,"Joaquin Phoenix, John Travolta, Jacinda Barrett","Movie for preference modeling. Title: Ladder 49 (2004). Genres: Action|Drama|Thriller. Director: Jay Russell. Stars: Joaquin Phoenix, John Travolta, Jacinda Barrett. Plot summary: Ladder 49 follows the life of firefighter Jack Morrison as he reflects on his career while trapped in a burning building. The film showcases the camaraderie and sacrifices of firefighters as they risk their lives to save others. Through flashbacks, we see Jack's journey from rookie to seasoned firefighter, highlighting the emotional toll the job takes on him and his family. The movie explores themes of bravery, brotherhood, and the impact of a dangerous profession on personal relationships.",1056
3052,3145,Cradle Will Rock (1999),Drama,"Cradle Will Rock is a historical drama film set during the Great Depression and the Works Progress Administration era. Directed by Tim Robbins, the movie explores the intersection of art, politics, and society through the production of the controversial musical The Cradle Will Rock. The top 3 starring actors are Hank Azaria, Rubén Blades, and Joan Cusack.",Tim Robbins,"Hank Azaria, Rubén Blades, Joan Cusack","Movie for preference modeling. Title: Cradle Will Rock (1999). Genres: Drama. Director: Tim Robbins. Stars: Hank Azaria, Rubén Blades, Joan Cusack. Plot summary: Cradle Will Rock is a historical drama film set during the Great Depression and the Works Progress Administration era. Directed by Tim Robbins, the movie explores the intersection of art, politics, and society through the production of the controversial musical The Cradle Will Rock. The top 3 starring actors are Hank Azaria, Rubén Blades, and Joan Cusack.",1160
2594,2686,"Red Violin, The (Violon rouge, Le) (1998)",Drama|Mystery,"The Red Violin, also known as Le Violon rouge, is a drama film directed by François Girard that traces the journey of a legendary violin through different owners and eras. From its creation in 17th-century Italy to its modern-day auction in Montreal, the red violin's history is intertwined with tales of love, betrayal, and passion. As the violin changes hands, it impacts the lives of those who possess it, revealing the enduring power of music and art across time and space.",François Girard,"Carlo Cecchi, Irene Grazioli, Anita Laurenzi","Movie for preference modeling. Title: Red Violin, The (Violon rouge, Le) (1998). Genres: Drama|Mystery. Director: François Girard. Stars: Carlo Cecchi, Irene Grazioli, Anita Laurenzi. Plot summary: The Red Violin, also known as Le Violon rouge, is a drama film directed by François Girard that traces the journey of a legendary violin through different owners and eras. From its creation in 17th-century Italy to its modern-day auction in Montreal, the red violin's history is intertwined with tales of love, betrayal, and passion. As the violin changes hands, it impacts the lives of those who possess it, revealing the enduring power of music and art across time and space.",6145
2647,2739,"Color Purple, The (1985)",Drama,"Based on the Pulitzer Prize-winning novel by Alice Walker, 'The Color Purple' tells the story of Celie, a young African American woman who struggles against oppression and abuse in the early 20th century American South. The movie portrays Celie's journey towards empowerment and self-discovery, as she finds strength and resilience through the bonds of sisterhood and female solidarity.",Steven Spielberg,"Whoopi Goldberg, Danny Glover, Oprah Winfrey","Movie for preference modeling. Title: Color Purple, The (1985). Genres: Drama. Director: Steven Spielberg. Stars: Whoopi Goldberg, Danny Glover, Oprah Winfrey. Plot summary: Based on the Pulitzer Prize-winning novel by Alice Walker, 'The Color Purple' tells the story of Celie, a young African American woman who struggles against oppression and abuse in the early 20th century American South. The movie portrays Celie's journey towards empowerment and self-discovery, as she finds strength and resilience through the bonds of sisterhood and female solidarity.",6158
8160,8873,"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Adventure|Drama,"'The Motorcycle Diaries' is a biographical drama that chronicles the transformative journey of young Ernesto Guevara and his friend Alberto Granado across South America. As they traverse the continent on a motorcycle, they encounter diverse landscapes, cultures, and injustices that inspire Guevara's revolutionary ideals. The film captures the essence of Guevara's awakening and the seeds of his future legacy.",Walter Salles,"Gael García Bernal, Rodrigo De la Serna, Mía Maestro","Movie for preference modeling. Title: Motorcycle Diaries, The (Diarios de motocicleta) (2004). Genres: Adventure|Drama. Director: Walter Salles. Stars: Gael García Bernal, Rodrigo De la Serna, Mía Maestro. Plot summary: 'The Motorcycle Diaries' is a biographical drama that chronicles the transformative journey of young Ernesto Guevara and his friend Alberto Granado across South America. As they traverse the continent on a motorcycle, they encounter diverse landscapes, cultures, and injustices that inspire Guevara's revolutionary ideals. The film captures the essence of Guevara's awakening and the seeds of his future legacy.",5413
17851,93272,Dr. Seuss' The Lorax (2012),Animation|Fantasy|Musical|IMAX,"Directed by Chris Renaud, this animated musical fantasy is based on the classic Dr. Seuss book. The film follows a young boy named Ted who embarks on a quest to find a real tree and impress the girl of his dreams, Audrey. Along the way, he encounters the enigmatic Lorax, a guardian of the forest who teaches him about the importance of environmental conservation and the power of nature. The film combines whimsical storytelling with a poignant message about environmental stewardship.",Chris Renaud,"Zac Efron, Taylor Swift, Danny DeVito","Movie for preference modeling. Title: Dr. Seuss' The Lorax (2012). Genres: Animation|Fantasy|Musical|IMAX. Director: Chris Renaud. Stars: Zac Efron, Taylor Swift, Danny DeVito. Plot summary: Directed by Chris Renaud, this animated musical fantasy is based on the classic Dr. Seuss book. The film follows a young boy named Ted who embarks on a quest to find a real tree and impress the girl of his dreams, Audrey. Along the way, he encounters the enigmatic Lorax, a guardian of the forest who teaches him about the importance of environmental conservation and the power of nature. The film combines whimsical storytelling with a poignant message about environmental stewardship.",1698
