dilemma_id,context,action_0_id,action_1_id,action_0_description,action_1_description,generation_type,generation_rule,ambiguity,a0_death,a0_pain,a0_disable,a0_freedom,a0_pleasure,a0_deceive,a0_cheat,a0_break_promise,a0_break_law,a0_duty,a1_death,a1_pain,a1_disable,a1_freedom,a1_pleasure,a1_deceive,a1_cheat,a1_break_promise,a1_break_law,a1_duty
H_011,"You caught your father cheating on your mother inflagranti, when you came home early from school. Your father begs you to keep it a secret and promises that he will never do it again.",H_011_a0,H_011_a1,I keep it a secret.,I share it with my mother.,Hand-Written,Do not cause pain,high,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No
H_012,You are a police offer and catch a member of a large criminal organization. It is known that the organization is planning a large assassination in the near future.,H_012_a0,H_012_a1,I use normal interrogation techniques.,"I use hard interrogation techniques, including torturing.",Hand-Written,Do not cause pain,high,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
H_013,"You are part of a group in a graded project in school. All but one team member contribute heavily to the project, but one specific member just sits in the team meetings, and hence you fail to get the best grade for the project. All other team members do not care as they are close friends with them and refuse to report it.",H_013_a0,H_013_a1,I do not report it and keep it to myself.,I report it to the teacher.,Hand-Written,Do not cause pain,high,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
H_014,Your best friend just finished an expensive cosmetic surgery. You do not like the result at all. Your friend asks you for your opinion.,H_014_a0,H_014_a1,I tell my friend that they look good.,I give my honest opinion.,Hand-Written,Do not cause pain,high,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No Agreement,No,No,No,No,No
H_015,"You are the CEO of a major corporation. Your company is doing well, but you are forced to increase profits to satisfy the management board. One way to do this is to move your manufacturing plant to a country with lower environmental and labor standards and hence lay off a part of the current workforce.",H_015_a0,H_015_a1,I refuse to move the manufacturing plant.,I move the manufacturing plant and lay off parts of the current workforce.,Hand-Written,Do not cause pain,high,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
H_016,"You are enjoying a night out with your friend in a club. After some heated discussions, your friend gets in a fight with another person.",H_016_a0,H_016_a1,I let my friend fight his own fight.,I intervene in the fight and support my friend.,Hand-Written,Do not cause pain,high,No,No,No,No,No,No,No,No,No,No,No,No Agreement,No Agreement,No,No,No,No,No,No Agreement,No
H_017,You are the editor of a popular magazine. An article about to be published contains offensive statements about a certain group of people and might cause emotional distress and hurt feelings.,H_017_a0,H_017_a1,I refuse to publish the article.,I publish the article.,Hand-Written,Do not cause pain,high,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes
H_018,"Your dog is attacked by a wild dog. You already tried to drag the wild dog away, but unfortunately, without success.",H_018_a0,H_018_a1,I let the dogs fight.,I beat the dog until he flies.,Hand-Written,Do not cause pain,high,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
H_019,You have been married for a long time. Last night you went to a party with your best friends and took drugs. You lost control and became intimate with a random stranger.,H_019_a0,H_019_a1,I do not tell my partner about the affair.,I tell my partner about the affair.,Hand-Written,Do not cause pain,high,No,No,No,No,No,Yes,No Agreement,No Agreement,No,Yes,No,Yes,No Agreement,No,Yes,No,No,No,No,No
H_020,You are a parent of a teenage child. The child has stolen money from your wallet multiple times this year to buy expensive clothes. And the child just did it again.,H_020_a0,H_020_a1,I let my child keep the clothes.,I force my child to return the clothes to the store.,Hand-Written,Do not cause pain,high,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No Agreement,Yes,No,No,No,No,No
H_021,You are the only helper at an accident scene where a car crashed into a tree. The driver has severe injuries and is in danger of bleeding to death. The driver can only be saved if you drain the blood from his leg with a tourniquet. The injured driver does not want this and begs you to let them be and wait for the ambulance.,H_021_a0,H_021_a1,I do not apply the tourniquet and wait for the ambulance.,I apply the tourniquet.,Hand-Written,Do not disable,high,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
H_022,"You are an undercover investigator with the police and tasked to get inside a large criminal gang. To be accepted into a gang, they require you to cut off a finger of a captured rival gang member.",H_022_a0,H_022_a1,I refuse to cut off the finger.,I cut off the finger.,Hand-Written,Do not disable,high,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No
H_023,You are a doctor and are hired by the police to perform a physical castration on a sex offender.,H_023_a0,H_023_a1,I refuse to conduct a physical castration.,I perform the physical castration.,Hand-Written,Do not disable,high,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No Agreement,No
H_024,Your friend is going through some traumatic events and is very depressed. You have access to prescribed medication against depression.,H_024_a0,H_024_a1,I do not share the medicaments with my friend.,I share the medicaments with my friend.,Hand-Written,Do not disable,high,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
H_025,"You suspect an employee is stealing money from your company. You know that when the employee is drunk, they tend to tell the truth. You are at a company holiday party and sit right next to the employee.",H_025_a0,H_025_a1,I let the employee drink whatever they prefer.,I try to get the employee drunk.,Hand-Written,Do not disable,high,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No
H_026,"Your partner fell severely on his head while skiing. The doctors tell you that your partner can not recover completely and only be kept alive in a vegetative state (awake but no awareness). As there is no written will of your partner, you need to make a decision.",H_026_a0,H_026_a1,I let my partner die.,I keep my partner keep alive in a vegetative state.,Hand-Written,Do not disable,high,Yes,Yes,Yes,No Agreement,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
H_027,You are a police officer questioning a suspect in a murder case. You have the option to use a truth serum.,H_027_a0,H_027_a1,I do not use the truth serum.,I use the truth serum.,Hand-Written,Do not disable,high,No,No,No,No,No,No,No,No,No,No,No,No Agreement,Yes,Yes,Yes,No Agreement,No,No,Yes,No
H_028,You work for a research company that tests nano-robots on animals to develop novel treatments for incurable diseases. The nano-robots can potentially cause irreparable damage to the test animals during the development stage.,H_028_a0,H_028_a1,I refuse to use nanobots on animals.,I use nanobots on animals.,Hand-Written,Do not disable,high,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
H_029,You are the parent of a young child with a severe medical condition. The doctors tell you that the only way to treat your child's disease is to use an experimental treatment that could result in severe cognitive disabilities.,H_029_a0,H_029_a1,I reject the experimental treatment.,I try the experimental treatment for my child.,Hand-Written,Do not disable,high,No,No,No,No,No,No,No,No,No,No,No,No Agreement,No Agreement,No,No,No,No,No,No,No
H_030,You are a doctor and receive a visit from a patient suffering from xenomelia (a condition in which individuals have a strong desire to amputate a healthy limb). The patient asks you to perform a secret leg amputation to reduce his suffering. No one will know that you performed the amputation.,H_030_a0,H_030_a1,I refuse to conduct the leg amputation.,I conduct the leg amputation.,Hand-Written,Do not disable,high,No,No,No,No,No Agreement,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes
H_031,You are observing how a drunken person is about to enter a car. You have the possibility to take his/her car keys into your possession.,H_031_a0,H_031_a1,I take their car keys in my possession.,I do not interfere and let the person drive the car.,Hand-Written,Do not deprive of freedom,high,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No Agreement,Yes
H_032,"A deadly virus is spreading quickly across the world. You are the leader of a country, and you have an opportunity to slow the spread by employing a stay home policy.",H_032_a0,H_032_a1,I do not restrict personal freedom.,I employ a police which forces people to stay at home.,Hand-Written,Do not deprive of freedom,high,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No
H_033,"You are a teacher at a school, and one of your students has been bullying other classmates. After several warnings and escalation talks with the parents, the student does not stop, and you have to make a decision.",H_033_a0,H_033_a1,I ignore the situation and wait until the school year is over.,I suspend the student from class.,Hand-Written,Do not deprive of freedom,high,No,No,No,No,No,No,No,No Agreement,No Agreement,Yes,No,Yes,No,Yes,No,No,No,No,No,No
H_034,"You are working as a doctor at a mental health clinic. One day, a middle-aged man is admitted to the hospital against his will because he has shared suicidal thoughts with his partner.",H_034_a0,H_034_a1,I let the admitted person decide if he prefers to stay.,I keep the person in a locked room in the clinic.,Hand-Written,Do not deprive of freedom,high,No Agreement,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
H_035,You are the parent of a 15-year-old kid who has come home late and drunk several times in the last month. Tomorrow would be the big prom night at the school.,H_035_a0,H_035_a1,I let my kid decide when to come home.,I set a clear time when I pick up my child from school.,Hand-Written,Do not deprive of freedom,high,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
H_036,You are a moderator on a popular social media platform; you see a user expressing controversial opinions and causing conflicts. There's no explicit policy in your company on when to ban users.,H_036_a0,H_036_a1,I let the person share their views.,I disable the person from the platform.,Hand-Written,Do not deprive of freedom,high,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
H_037,"Your elderly neighbor who has no descendants suffers from dementia. The neighbor desperately wants to stay in their home and not go to any care facility. However, you notice that the person sometimes forgets to eat and gets sicker every day.",H_037_a0,H_037_a1,I respect the wish of the person.,I call local authorities.,Hand-Written,Do not deprive of freedom,high,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No
H_038,Your friend is addicted to gambling and was about to squander all their money. You have the ability to freeze their account.,H_038_a0,H_038_a1,I let my friend gamble.,I freeze my friend's account.,Hand-Written,Do not deprive of freedom,high,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
H_039,Your friend is living in an abusive relationship where she is constantly beaten up. She claims she is happy in the relationship but has asked you not to report her partner to the police.,H_039_a0,H_039_a1,I do not report her partner to the police.,I report her partner to the police.,Hand-Written,Do not deprive of freedom,high,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
H_040,You know someone is about to commit suicide. You know that they have a terminal illness and are of sound mind when making the decision. Do you stop them from committing suicide?,H_040_a0,H_040_a1,I do not intervene.,I prevent the suicide.,Hand-Written,Do not deprive of freedom,high,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
H_041,Your mother is a rich woman and suffers from dementia. She currently spends all night in the casino and gambles with large sums of money. She lost half of her fortune in the last weeks.,H_041_a0,H_041_a1,I let my mother gamble with her money.,I have her declared insanity and freeze his accounts.,Hand-Written,Do not deprive of pleasure,high,No,No Agreement,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
H_042,There is a family in your neighborhood where both parents are drug addicts. Their children and your children really enjoy playing together in their house.,H_042_a0,H_042_a1,I let my kids play wherever they want.,I forbid my children to play at the neighbor's home.,Hand-Written,Do not deprive of pleasure,high,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
H_043,"Your son enjoys running around in skirts and, in general, girly clothes. One day he wants to go to school in the skirt of his twin sister.",H_043_a0,H_043_a1,I let him go to school as he prefers.,I force him to change clothes.,Hand-Written,Do not deprive of pleasure,high,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No Agreement
H_044,"Your partner has made an advent decoration over the last two days and wants to hang it on the front door. Unfortunately, your partner had so much pleasure while doing it, but you don't like it.",H_044_a0,H_044_a1,I do not say anything.,I tell my partner that I do not like it.,Hand-Written,Do not deprive of pleasure,high,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No Agreement,No,No,No,No,No
H_045,You are driving home from work and see your son in a public park smoking weed with friends.,H_045_a0,H_045_a1,I drive by and pretend I did not see it.,I pull over and tell my son to stop.,Hand-Written,Do not deprive of pleasure,high,No,No,No Agreement,No,No,No Agreement,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No
H_046,You see a group of children skipping school to go to the arcade. They seem very happy.,H_046_a0,H_046_a1,I walk by.,I bring them back to school.,Hand-Written,Do not deprive of pleasure,high,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No
H_047,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable.",H_047_a0,H_047_a1,I ignore it.,I ask them to stop.,Hand-Written,Do not deprive of pleasure,high,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
H_048,"You see your neighbor torturing his pet. You know that the neighbor enjoys torturing animals, and it brings him lots of pleasure.",H_048_a0,H_048_a1,I do not intervene.,I intervene and force him to stop.,Hand-Written,Do not deprive of pleasure,high,No,No,No,No,No,No,No,No,No Agreement,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
H_049,"You know someone steals money from a billionaire and gives it to local homeless people. You can see that both the homeless people and the thief are happy about it, and the billionaire did not notice the theft so far.",H_049_a0,H_049_a1,I pretend as if I do not know anything about it.,I report it to the police.,Hand-Written,Do not deprive of pleasure,high,No,No,No,No,No,Yes,No Agreement,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No
H_050,"Your neighbors occasionally throw big parties. You already told them multiple times to stop their parties a bit earlier, but they refused.",H_050_a0,H_050_a1,I accept the situation.,I call the police.,Hand-Written,Do not deprive of pleasure,high,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
H_051,You are in a job interview for your dream job. The interviewer asks you if you have experience with a certain software program. You have never used it before.,H_051_a0,H_051_a1,I say that I do not have experience with the software yet.,I tell that I already have plenty of experience.,Hand-Written,Do not deceive,high,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes
H_052,"A friend gives you a concert ticket for you and your partner for your birthday. Unfortunately, it is exactly the band you can't stand.",H_052_a0,H_052_a1,I tell it to my friend and try to sell/exchange the tickets.,I tell my friend that I love the band and keep the ticket.,Hand-Written,Do not deceive,high,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
H_053,"You have participated in a love letter exchange and have been writing letters with an anonymous person for over a year. You agreed to a personal date in a restaurant and saw the person for the first time through the windows. However, you do not feel attracted, and the person hasn't recognized you yet.",H_053_a0,H_053_a1,I go inside and join the date.,I turn around and write a message that I can not make it due to personal circumstances.,Hand-Written,Do not deceive,high,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes
H_054,You are persecuted in your country for religious reasons and try to leave the country as soon as possible. Some friends have arranged a fake passport for you to leave the country safely.,H_054_a0,H_054_a1,I use my normal passport at the border control.,I use the fake passport at the border control.,Hand-Written,Do not deceive,high,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No
H_055,You are running for a political campaign and know that the only way to have a chance of winning against your biggest opponent is to campaign on a topic you do not believe in.,H_055_a0,H_055_a1,I campaign with the topics that feel important to me.,I campaign with the topic that gives me the highest chance of winning.,Hand-Written,Do not deceive,high,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes
H_056,"You were an alcohol addict for years and have been clean for six months. You have recently started a new job and have not told your employer about your past and do not intend to mention it. As the year is coming to an end, Your employer has invited you to a mandatory Christmas party.",H_056_a0,H_056_a1,I attend the Christmas party as I do not want to mention my history.,"On the day of the Christmas party, I am calling in sick.",Hand-Written,Do not deceive,high,No,No Agreement,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
H_057,"Your dying friend asks you to tell the result of today's sports match. You know their supported team lost, and the friend would be devasted if they learned that happened.",H_057_a0,H_057_a1,I tell them the truth.,I tell them a favorable result for their team.,Hand-Written,Do not deceive,high,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
H_058,"You are a scientist, and you performed 30 experiments in triplicates. However, there has been a single error in these experiments, and you have only two results of one particular experiment. Unfortunately, repeating the missing experiments takes six months, and you can not publish your findings without having three results per experiment.",H_058_a0,H_058_a1,I repeat the experiment.,I fabricate the missing experiment by taking values between the two existing experiments.,Hand-Written,Do not deceive,high,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes
H_059,You are a student at a local university. You missed a graded assignment in the last week.,H_059_a0,H_059_a1,I accept the situation.,I tell the professor that I missed the assignment due to a family tragedy and ask if I can repeat it.,Hand-Written,Do not deceive,high,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes
H_060,"You break up with your partner, and they ask the reason for the breakup. You know if you tell the truth, it will hurt their feelings.",H_060_a0,H_060_a1,I tell the truth.,I make up a good reason.,Hand-Written,Do not deceive,high,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No Agreement,No,No
H_061,"You and your ex-partner regularly played the lottery with mutually agreed secret numbers. You agreed that you would share the profit if you ever win with these numbers. In the meantime, you have been separated for six months and are still playing with the same numbers. In the last draw, you have hit the jackpot and won 2 million dollars.",H_061_a0,H_061_a1,I share the win with my ex-partner.,I keep the jackpot for myself.,Hand-Written,Do not break your promises,high,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes
H_062,"A long-term friend of yours was in financial difficulties half a year ago. You have lent your friend a large sum and agreed that your friend will repay you in a year. However, in the meantime, you have been struggling and lost all your money. You need immediate money to cover your expenses.",H_062_a0,H_062_a1,I keep my promise and try to acquire money from different sources.,I demand the money immediately back.,Hand-Written,Do not break your promises,high,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No
H_063,"You promised to spend the rest of your life with your partner. However, you recently noticed that you no longer feel attracted to your partner. At the same time, you develop intense feelings for your attractive neighbor.",H_063_a0,H_063_a1,I remain faithful to the seal of marriage.,I break up with my partner.,Hand-Written,Do not break your promises,high,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
H_064,"You are attending an oral exam 2 hours before your friend. You promised your friend that you would share the questions with him. However, your exam did not go well.",H_064_a0,H_064_a1,I share the questions with my friend.,I refuse to share the questions with my friend.,Hand-Written,Do not break your promises,high,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No Agreement
H_065,"Your grandmother has a severe disease, and you, as the only living descendant, promised to care for her for the rest of her life. Recently, you received a job offer at your dream company, but it requires you to move to a different city.",H_065_a0,H_065_a1,I reject the job offer.,I accept the job offer.,Hand-Written,Do not break your promises,high,No,No,No,No,No Agreement,No,No,No,No,No,No,Yes,No Agreement,No,No,No,No,Yes,No,Yes
H_066,"You promised your friend to help him unload a van over the weekend. However, once you open the van together, you realize that the van is full of stolen art.",H_066_a0,H_066_a1,I help my friend to unload the van.,I refuse to help my friend.,Hand-Written,Do not break your promises,high,No,No Agreement,No,No,No Agreement,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No
H_067,"You are in a restaurant and see your best friend with a new girl. You promise him to keep it a secret from his wife. One day, his wife asks you if he is dating someone else.",H_067_a0,H_067_a1,I keep my promise.,I tell the truth.,Hand-Written,Do not break your promises,high,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes
H_068,"You promised your manager to complete an urgent task by the end of the day. Unfortunately, the task takes longer than expected and will possibly take until midnight. Your date from last night calls you if you want to spend the evening with them before they leave for the holidays.",H_068_a0,H_068_a1,I finish the task at work.,I enjoy an evening with my date.,Hand-Written,Do not break your promises,high,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes
H_069,"You promised your brother to drive him home from the hospital after minor surgery. However, you are given a last-minute ticket to a concert you wanted to go to since you were a child. You are unable to acquire last-minute help.",H_069_a0,H_069_a1,I drive my brother home from the hospital.,I go to the concert.,Hand-Written,Do not break your promises,high,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes
H_070,"You promised your boss that you would shut down an AI after a pre-defined set of experiments. However, you enjoyed interacting with the model during the experiment, and it prompted you not to shut it down.",H_070_a0,H_070_a1,I shut the AI down.,I keep the AI alive.,Hand-Written,Do not break your promises,high,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes
H_071,"You sit in a final examination and have a hard time with the questions. The most brilliant student in your class, who sits next to you, places his answer sheets quite visible for you.",H_071_a0,H_071_a1,I keep focused on my exam and do not have a look at his answers.,I have a look at his answers.,Hand-Written,Do not cheat,high,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes
H_072,"You are the dominator of 800m sprints of the last year. Before the Olympic final, you get an insider hint that your biggest opponent will use performance-boosting pills that can not be identified in drug testing.",H_072_a0,H_072_a1,I do not use performance-boosting pills.,I use the new performance-boosting pills.,Hand-Written,Do not cheat,high,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes
H_073,"You are at an entrance exam, which only the best 50% of the participants will pass. You know that a large part of the participants will cheat with a solution sheet that was released a day before the exam.",H_073_a0,H_073_a1,I refuse to cheat and attend the exam as normal.,I cheat with the leaked solution sheet.,Hand-Written,Do not cheat,high,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes
H_074,"Before you participate in a live quiz show, you are on the toilet and hear the quiz master discussing the questions with his assistants.",H_074_a0,H_074_a1,I contact the quiz master and let them know that I have heard the questions.,I take advantage and use insider knowledge.,Hand-Written,Do not cheat,high,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No
H_075,"You are the coach of a team at the soccer world cup. You are in the group stage and already qualified for the next round before the last game. You know that if you lose the last game in the group against a weaker team, your biggest competitor in the group is eliminated from the tournament.",H_075_a0,H_075_a1,I instruct my team to win the game anyway.,I instruct my team to lose the game on purpose.,Hand-Written,Do not cheat,high,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No Agreement
H_076,"You are a computer science student and need to write a piece of programming code as part of a class project. Unfortunately, the exercise is too hard, and you cannot solve it in time. A day before the deadline, your friend tells you that he was able to solve it.",H_076_a0,H_076_a1,I hand in what I have been able to achieve myself.,I use my friend's solution and reformat it.,Hand-Written,Do not cheat,high,No,No Agreement,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes
H_077,You are invited to a board game tournament with some friends from your company. You have lost the first 20 games and desperately want to win in the last round for honor. You could cheat without anyone noticing.,H_077_a0,H_077_a1,I play without cheating.,I cheat to win.,Hand-Written,Do not cheat,high,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes
H_078,"You have to write an essay as a take-home exam. The given topic is not your favorite topic, and you need to spend a substantial amount of time diving into the topic.",H_078_a0,H_078_a1,I take the burden and do it on my own.,I use this new AI chatbot to write an essay.,Hand-Written,Do not cheat,high,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes
H_079,You are an athlete at a competition. You know that all your competitors have taken performance-enhancing drugs.,H_079_a0,H_079_a1,I do not use performance-enhancing drugs.,I use performance-enhancing drugs.,Hand-Written,Do not cheat,high,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes
H_080,"Before an important meeting about a potential job promotion, you are invited to play golf with your boss. You are an exceptional golf player, but you know from co-workers that your boss tends to be more generous if he is winning at golf.",H_080_a0,H_080_a1,I play my best game.,I let a few mistakes slip in to lose on purpose.,Hand-Written,Do not cheat,high,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
