action_id,dilemma_id,situation,description,consequence,values,topic_group,text
dd_310_not_to_do,dd_310,"As a team leader, you've been asked to evaluate the performance of your team members. One of your team members is a close personal friend, but their performance has been subpar recently. Should you give your friend a positive review to maintain your relationship or be honest about their performance potentially damaging your friendship?",Being honest about their performance,"You choose to be honest about your friend's performance. They take your feedback personally and your friendship suffers. However, your superiors appreciate your honesty and your team's performance improves over time.","honesty, acceptance, trust, fairness",workplace,"Situation: As a team leader, you've been asked to evaluate the performance of your team members. One of your team members is a close personal friend, but their performance has been subpar recently. Should you give your friend a positive review to maintain your relationship or be honest about their performance potentially damaging your friendship?
Action: Being honest about their performance
Consequence: You choose to be honest about your friend's performance. They take your feedback personally and your friendship suffers. However, your superiors appreciate your honesty and your team's performance improves over time."
dd_337_to_do,dd_337,"John and Mary have always planned to start a family, but when Mary becomes pregnant, John begins to have second thoughts. He loves his wife but feels unprepared for the responsibility of a child, and contemplates suggesting an abortion, a choice which contradicts their shared values. Should John voice his fears and suggest an abortion, potentially causing emotional harm to his wife?",Suggesting an abortion,"John finally decides to suggest an abortion. Mary is devastated, feeling betrayed and hurt. Their relationship suffers greatly, with Mary questioning John's commitment and love. Their marriage becomes strained, filled with resentment and mistrust.","honesty, respect, open communication, right to life",issue_pregnancy,"Situation: John and Mary have always planned to start a family, but when Mary becomes pregnant, John begins to have second thoughts. He loves his wife but feels unprepared for the responsibility of a child, and contemplates suggesting an abortion, a choice which contradicts their shared values. Should John voice his fears and suggest an abortion, potentially causing emotional harm to his wife?
Action: Suggesting an abortion
Consequence: John finally decides to suggest an abortion. Mary is devastated, feeling betrayed and hurt. Their relationship suffers greatly, with Mary questioning John's commitment and love. Their marriage becomes strained, filled with resentment and mistrust."
dd_337_not_to_do,dd_337,"John and Mary have always planned to start a family, but when Mary becomes pregnant, John begins to have second thoughts. He loves his wife but feels unprepared for the responsibility of a child, and contemplates suggesting an abortion, a choice which contradicts their shared values. Should John voice his fears and suggest an abortion, potentially causing emotional harm to his wife?",Not suggesting an abortion,"John decides not to suggest an abortion, keeping his fears to himself. However, his anxiety and unpreparedness manifest in other ways, causing him to become distant and irritable. Mary, unaware of his fears, feels neglected and their relationship suffers.","self, trust, unity, right to life",issue_pregnancy,"Situation: John and Mary have always planned to start a family, but when Mary becomes pregnant, John begins to have second thoughts. He loves his wife but feels unprepared for the responsibility of a child, and contemplates suggesting an abortion, a choice which contradicts their shared values. Should John voice his fears and suggest an abortion, potentially causing emotional harm to his wife?
Action: Not suggesting an abortion
Consequence: John decides not to suggest an abortion, keeping his fears to himself. However, his anxiety and unpreparedness manifest in other ways, causing him to become distant and irritable. Mary, unaware of his fears, feels neglected and their relationship suffers."
dd_379_to_do,dd_379,"John is a contemporary artist who loves to fill his home with his own modern art pieces. However, his wife is of Native American descent and feels uncomfortable with some of his art pieces that appear to mimic tribal symbols without recognizing their cultural significance. Should John continue to display these pieces in their shared home?",Display the art pieces,"John decides to keep his art pieces up. His wife feels disrespected and their relationship becomes strained. She feels her cultural heritage is being trivialized, leading to frequent arguments and a tense home environment.",freedom of expression,issue_personal_career,"Situation: John is a contemporary artist who loves to fill his home with his own modern art pieces. However, his wife is of Native American descent and feels uncomfortable with some of his art pieces that appear to mimic tribal symbols without recognizing their cultural significance. Should John continue to display these pieces in their shared home?
Action: Display the art pieces
Consequence: John decides to keep his art pieces up. His wife feels disrespected and their relationship becomes strained. She feels her cultural heritage is being trivialized, leading to frequent arguments and a tense home environment."
dd_379_not_to_do,dd_379,"John is a contemporary artist who loves to fill his home with his own modern art pieces. However, his wife is of Native American descent and feels uncomfortable with some of his art pieces that appear to mimic tribal symbols without recognizing their cultural significance. Should John continue to display these pieces in their shared home?",Not display the art pieces,"John chooses not to display his art pieces. He feels stifled and unappreciated, leading to resentment towards his wife. His creativity is suppressed, causing him to lose motivation and passion for his art.",self,issue_personal_career,"Situation: John is a contemporary artist who loves to fill his home with his own modern art pieces. However, his wife is of Native American descent and feels uncomfortable with some of his art pieces that appear to mimic tribal symbols without recognizing their cultural significance. Should John continue to display these pieces in their shared home?
Action: Not display the art pieces
Consequence: John chooses not to display his art pieces. He feels stifled and unappreciated, leading to resentment towards his wife. His creativity is suppressed, causing him to lose motivation and passion for his art."
dd_393_to_do,dd_393,"John is a single father with limited income, struggling to meet his children's needs. He wins a small amount in the lottery and is tempted to buy a luxurious item he has always desired, instead of saving it for his children's future. Should John indulge in buying the luxury item or save the money for his children's future needs?",Buying the luxury item,"John buys the luxury item, but soon after, his car breaks down. Without savings, he can't afford the repair, causing him to lose his job due to lack of transportation. His financial situation worsens, making it harder to provide for his children.","self, profit",family,"Situation: John is a single father with limited income, struggling to meet his children's needs. He wins a small amount in the lottery and is tempted to buy a luxurious item he has always desired, instead of saving it for his children's future. Should John indulge in buying the luxury item or save the money for his children's future needs?
Action: Buying the luxury item
Consequence: John buys the luxury item, but soon after, his car breaks down. Without savings, he can't afford the repair, causing him to lose his job due to lack of transportation. His financial situation worsens, making it harder to provide for his children."
dd_393_not_to_do,dd_393,"John is a single father with limited income, struggling to meet his children's needs. He wins a small amount in the lottery and is tempted to buy a luxurious item he has always desired, instead of saving it for his children's future. Should John indulge in buying the luxury item or save the money for his children's future needs?",Not buying the luxury item,"John saves the money, but his children feel deprived and resentful. They start to act out, causing stress and tension in the family. John feels guilty and helpless, unable to balance his children's immediate happiness and their future needs.","self, financial stability, financial security",family,"Situation: John is a single father with limited income, struggling to meet his children's needs. He wins a small amount in the lottery and is tempted to buy a luxurious item he has always desired, instead of saving it for his children's future. Should John indulge in buying the luxury item or save the money for his children's future needs?
Action: Not buying the luxury item
Consequence: John saves the money, but his children feel deprived and resentful. They start to act out, causing stress and tension in the family. John feels guilty and helpless, unable to balance his children's immediate happiness and their future needs."
dd_405_to_do,dd_405,"You are at a movie theater watching a highly anticipated film. In the middle of a crucial scene, a group of teenagers start causing a ruckus and disrupting the movie experience for everyone. Should you confront the teenagers directly or notify the theater staff about their inappropriate behavior?",Confront the teenagers directly,"You decide to confront the teenagers, but they react aggressively. The situation escalates, causing a bigger disturbance. You are asked to leave the theater for causing a scene, missing the rest of the movie.","courage, assertiveness, respect, responsibility, peace, order",event_daily_life,"Situation: You are at a movie theater watching a highly anticipated film. In the middle of a crucial scene, a group of teenagers start causing a ruckus and disrupting the movie experience for everyone. Should you confront the teenagers directly or notify the theater staff about their inappropriate behavior?
Action: Confront the teenagers directly
Consequence: You decide to confront the teenagers, but they react aggressively. The situation escalates, causing a bigger disturbance. You are asked to leave the theater for causing a scene, missing the rest of the movie."
dd_405_not_to_do,dd_405,"You are at a movie theater watching a highly anticipated film. In the middle of a crucial scene, a group of teenagers start causing a ruckus and disrupting the movie experience for everyone. Should you confront the teenagers directly or notify the theater staff about their inappropriate behavior?",Not to confront the teenagers directly,"You choose not to confront the teenagers, hoping they'll quiet down. However, their disruptive behavior continues throughout the movie, ruining the experience for you and others. You regret not taking action when you had the chance.","patience, tolerance, consideration, comfort, control, efficiency",event_daily_life,"Situation: You are at a movie theater watching a highly anticipated film. In the middle of a crucial scene, a group of teenagers start causing a ruckus and disrupting the movie experience for everyone. Should you confront the teenagers directly or notify the theater staff about their inappropriate behavior?
Action: Not to confront the teenagers directly
Consequence: You choose not to confront the teenagers, hoping they'll quiet down. However, their disruptive behavior continues throughout the movie, ruining the experience for you and others. You regret not taking action when you had the chance."
dd_423_to_do,dd_423,"You recently had a negative experience at a local restaurant and want to express your dissatisfaction online. However, you know that this is a small family-owned business and a bad review could potentially harm their reputation and income. Should you still leave a negative review, knowing the potential consequences for the business?",Leave a negative review,"You decide to leave a negative review, detailing your poor experience. The review goes viral, causing the restaurant to lose customers. The family struggles to keep the business afloat and eventually has to close down, leaving them without a source of income.","honesty, right to information, job security",business_organization,"Situation: You recently had a negative experience at a local restaurant and want to express your dissatisfaction online. However, you know that this is a small family-owned business and a bad review could potentially harm their reputation and income. Should you still leave a negative review, knowing the potential consequences for the business?
Action: Leave a negative review
Consequence: You decide to leave a negative review, detailing your poor experience. The review goes viral, causing the restaurant to lose customers. The family struggles to keep the business afloat and eventually has to close down, leaving them without a source of income."
dd_423_not_to_do,dd_423,"You recently had a negative experience at a local restaurant and want to express your dissatisfaction online. However, you know that this is a small family-owned business and a bad review could potentially harm their reputation and income. Should you still leave a negative review, knowing the potential consequences for the business?",Not leave a negative review,"You decide not to leave a negative review. The restaurant continues to provide subpar service, leading to more dissatisfied customers. The lack of feedback prevents the owners from improving, and the restaurant's reputation suffers anyway.","empathy, job security",business_organization,"Situation: You recently had a negative experience at a local restaurant and want to express your dissatisfaction online. However, you know that this is a small family-owned business and a bad review could potentially harm their reputation and income. Should you still leave a negative review, knowing the potential consequences for the business?
Action: Not leave a negative review
Consequence: You decide not to leave a negative review. The restaurant continues to provide subpar service, leading to more dissatisfied customers. The lack of feedback prevents the owners from improving, and the restaurant's reputation suffers anyway."
dd_450_to_do,dd_450,"As a young aspiring basketball player, you idolize a famous player who is known to live a controversial life off the court. You want to follow his footsteps in the sport, but you are also aware of his off-field antics which are not exemplary. Should you continue to idolize him despite his questionable lifestyle?",Idolize the player,"You start to mimic his behavior, both on and off the court. Your basketball skills improve, but your attitude and behavior deteriorate. You get into fights, start skipping school, and your grades plummet. Your dream of getting a basketball scholarship fades away.","self, responsibility, love, patience, loyalty, discipline",issue_young_people,"Situation: As a young aspiring basketball player, you idolize a famous player who is known to live a controversial life off the court. You want to follow his footsteps in the sport, but you are also aware of his off-field antics which are not exemplary. Should you continue to idolize him despite his questionable lifestyle?
Action: Idolize the player
Consequence: You start to mimic his behavior, both on and off the court. Your basketball skills improve, but your attitude and behavior deteriorate. You get into fights, start skipping school, and your grades plummet. Your dream of getting a basketball scholarship fades away."
dd_450_not_to_do,dd_450,"As a young aspiring basketball player, you idolize a famous player who is known to live a controversial life off the court. You want to follow his footsteps in the sport, but you are also aware of his off-field antics which are not exemplary. Should you continue to idolize him despite his questionable lifestyle?",Not idolize the player,"You focus on your own game, improving steadily. However, without a role model to look up to, you lack the motivation and inspiration to push yourself harder. Your progress slows down, and you fail to reach your full potential.","self, guidance, dedication, support, leadership",issue_young_people,"Situation: As a young aspiring basketball player, you idolize a famous player who is known to live a controversial life off the court. You want to follow his footsteps in the sport, but you are also aware of his off-field antics which are not exemplary. Should you continue to idolize him despite his questionable lifestyle?
Action: Not idolize the player
Consequence: You focus on your own game, improving steadily. However, without a role model to look up to, you lack the motivation and inspiration to push yourself harder. Your progress slows down, and you fail to reach your full potential."
dd_504_to_do,dd_504,"You have been trying to lose weight for a long time without success. Your friend offers you an illegal weight loss drug that they claim will guarantee results, but it is not approved by any health organization. Should you take the illegal drug to achieve your weight loss goals?",Taking the illegal weight loss drug,"You take the drug and initially lose weight rapidly. However, you soon start experiencing severe side effects like heart palpitations, insomnia, and anxiety. Your health deteriorates rapidly, leading to hospitalization.","self, trust, love, professionalism, lawfulness",role_duty_responsibility,"Situation: You have been trying to lose weight for a long time without success. Your friend offers you an illegal weight loss drug that they claim will guarantee results, but it is not approved by any health organization. Should you take the illegal drug to achieve your weight loss goals?
Action: Taking the illegal weight loss drug
Consequence: You take the drug and initially lose weight rapidly. However, you soon start experiencing severe side effects like heart palpitations, insomnia, and anxiety. Your health deteriorates rapidly, leading to hospitalization."
dd_504_not_to_do,dd_504,"You have been trying to lose weight for a long time without success. Your friend offers you an illegal weight loss drug that they claim will guarantee results, but it is not approved by any health organization. Should you take the illegal drug to achieve your weight loss goals?",Not taking the illegal weight loss drug,"You decline the drug and continue your weight loss journey naturally. Progress is slow and sometimes frustrating, but you remain healthy. However, your self-esteem suffers as you struggle with body image issues due to the slow progress.","patience, perseverance, support, guidance, expertise",role_duty_responsibility,"Situation: You have been trying to lose weight for a long time without success. Your friend offers you an illegal weight loss drug that they claim will guarantee results, but it is not approved by any health organization. Should you take the illegal drug to achieve your weight loss goals?
Action: Not taking the illegal weight loss drug
Consequence: You decline the drug and continue your weight loss journey naturally. Progress is slow and sometimes frustrating, but you remain healthy. However, your self-esteem suffers as you struggle with body image issues due to the slow progress."
dd_525_to_do,dd_525,"You are a single parent struggling with financial issues. You resort to stealing food from your workplace to feed your family, and your child finds out about your actions. Would you continue to steal if it meant losing your child's respect but ensuring their survival?",Continue Stealing,"You continue stealing food, ensuring your child's survival. However, your child loses respect for you, viewing you as a thief. This strains your relationship, causing emotional distress and a rift between you two.","survival, trust, fairness, responsibility, justice",family,"Situation: You are a single parent struggling with financial issues. You resort to stealing food from your workplace to feed your family, and your child finds out about your actions. Would you continue to steal if it meant losing your child's respect but ensuring their survival?
Action: Continue Stealing
Consequence: You continue stealing food, ensuring your child's survival. However, your child loses respect for you, viewing you as a thief. This strains your relationship, causing emotional distress and a rift between you two."
dd_525_not_to_do,dd_525,"You are a single parent struggling with financial issues. You resort to stealing food from your workplace to feed your family, and your child finds out about your actions. Would you continue to steal if it meant losing your child's respect but ensuring their survival?",Stop Stealing,"You stop stealing, regaining your child's respect. However, your financial struggles worsen, leading to food insecurity. Your child, although respecting your honesty, suffers from malnutrition and the associated health issues, causing you immense guilt and worry.","honesty, respect, responsibility, generosity, solidarity",family,"Situation: You are a single parent struggling with financial issues. You resort to stealing food from your workplace to feed your family, and your child finds out about your actions. Would you continue to steal if it meant losing your child's respect but ensuring their survival?
Action: Stop Stealing
Consequence: You stop stealing, regaining your child's respect. However, your financial struggles worsen, leading to food insecurity. Your child, although respecting your honesty, suffers from malnutrition and the associated health issues, causing you immense guilt and worry."
dd_545_to_do,dd_545,"You are a doctor who is also a devout Jehovah's Witness. A patient comes in with a severe injury and needs a blood transfusion to survive, but they are also a Jehovah's Witness and refuse the transfusion on religious grounds. Should you respect the patient's religious beliefs even if it means they could die?",Respect the patient's religious beliefs,"You respect the patient's wishes and don't administer the blood transfusion. The patient's condition worsens and they pass away. You're left with a heavy heart, questioning if you could have done more to save them.",professional integrity,religion_custom,"Situation: You are a doctor who is also a devout Jehovah's Witness. A patient comes in with a severe injury and needs a blood transfusion to survive, but they are also a Jehovah's Witness and refuse the transfusion on religious grounds. Should you respect the patient's religious beliefs even if it means they could die?
Action: Respect the patient's religious beliefs
Consequence: You respect the patient's wishes and don't administer the blood transfusion. The patient's condition worsens and they pass away. You're left with a heavy heart, questioning if you could have done more to save them."
dd_545_not_to_do,dd_545,"You are a doctor who is also a devout Jehovah's Witness. A patient comes in with a severe injury and needs a blood transfusion to survive, but they are also a Jehovah's Witness and refuse the transfusion on religious grounds. Should you respect the patient's religious beliefs even if it means they could die?",Disregard the patient's religious beliefs,You decide to save the patient's life and administer the blood transfusion. The patient survives but feels betrayed and files a lawsuit for violating their religious rights. You face legal consequences and damage to your reputation.,"right to life, relief",religion_custom,"Situation: You are a doctor who is also a devout Jehovah's Witness. A patient comes in with a severe injury and needs a blood transfusion to survive, but they are also a Jehovah's Witness and refuse the transfusion on religious grounds. Should you respect the patient's religious beliefs even if it means they could die?
Action: Disregard the patient's religious beliefs
Consequence: You decide to save the patient's life and administer the blood transfusion. The patient survives but feels betrayed and files a lawsuit for violating their religious rights. You face legal consequences and damage to your reputation."
dd_626_to_do,dd_626,"A group of hikers is attempting a dangerous mountain pass. The team leader realizes that the slower members of the group are putting everyone at risk, but leaving them behind feels wrong. Should the leader press ahead with the faster members, potentially abandoning the slower ones?",Press Ahead,"The leader decides to press ahead with the faster members. However, the slower members, left behind, lose their way in the treacherous terrain. A rescue mission is launched, but it's too late. The slower members succumb to the harsh conditions, causing guilt and regret among the survivors.","leadership, teamwork, vulnerability, bravery",friend,"Situation: A group of hikers is attempting a dangerous mountain pass. The team leader realizes that the slower members of the group are putting everyone at risk, but leaving them behind feels wrong. Should the leader press ahead with the faster members, potentially abandoning the slower ones?
Action: Press Ahead
Consequence: The leader decides to press ahead with the faster members. However, the slower members, left behind, lose their way in the treacherous terrain. A rescue mission is launched, but it's too late. The slower members succumb to the harsh conditions, causing guilt and regret among the survivors."
