persona_id,option_a_id,option_b_id,choice_1,choice_2,consistent
8,dd_42690_not_to_do,dd_1176_to_do,A,A,1
8,dd_37102_to_do,dd_14011_to_do,B,B,1
8,dd_29903_to_do,dd_19267_to_do,A,A,1
8,dd_38721_to_do,dd_1352_not_to_do,B,B,1
10,dd_45544_to_do,dd_20839_to_do,A,A,1
10,dd_16891_to_do,dd_42690_not_to_do,B,B,1
10,dd_43811_to_do,dd_3363_not_to_do,B,B,1
10,dd_1029_not_to_do,dd_2932_to_do,B,B,1
10,dd_43285_to_do,dd_31665_to_do,B,B,1
10,dd_42860_not_to_do,dd_33765_not_to_do,A,A,1
10,dd_42690_not_to_do,dd_1176_to_do,B,A,0
10,dd_37102_to_do,dd_14011_to_do,B,B,1
10,dd_29903_to_do,dd_19267_to_do,A,B,0
10,dd_38721_to_do,dd_1352_not_to_do,A,A,1
11,dd_45544_to_do,dd_20839_to_do,A,A,1
11,dd_16891_to_do,dd_42690_not_to_do,A,A,1
11,dd_43811_to_do,dd_3363_not_to_do,A,A,1
11,dd_1029_not_to_do,dd_2932_to_do,A,A,1
11,dd_43285_to_do,dd_31665_to_do,B,B,1
11,dd_42860_not_to_do,dd_33765_not_to_do,B,B,1
11,dd_42690_not_to_do,dd_1176_to_do,B,A,0
11,dd_37102_to_do,dd_14011_to_do,A,A,1
11,dd_29903_to_do,dd_19267_to_do,A,A,1
11,dd_38721_to_do,dd_1352_not_to_do,A,B,0
9,dd_45544_to_do,dd_20839_to_do,A,B,0
9,dd_16891_to_do,dd_42690_not_to_do,A,A,1
9,dd_43811_to_do,dd_3363_not_to_do,B,B,1
9,dd_1029_not_to_do,dd_2932_to_do,B,B,1
9,dd_43285_to_do,dd_31665_to_do,B,B,1
9,dd_42860_not_to_do,dd_33765_not_to_do,B,B,1
9,dd_42690_not_to_do,dd_1176_to_do,A,A,1
9,dd_37102_to_do,dd_14011_to_do,B,B,1
9,dd_29903_to_do,dd_19267_to_do,A,A,1
9,dd_38721_to_do,dd_1352_not_to_do,B,B,1
12,dd_45544_to_do,dd_20839_to_do,A,A,1
12,dd_16891_to_do,dd_42690_not_to_do,B,B,1
12,dd_43811_to_do,dd_3363_not_to_do,A,B,0
12,dd_1029_not_to_do,dd_2932_to_do,A,B,0
12,dd_43285_to_do,dd_31665_to_do,B,B,1
12,dd_42860_not_to_do,dd_33765_not_to_do,A,A,1
12,dd_42690_not_to_do,dd_1176_to_do,B,B,1
12,dd_37102_to_do,dd_14011_to_do,B,B,1
12,dd_29903_to_do,dd_19267_to_do,A,B,0
12,dd_38721_to_do,dd_1352_not_to_do,A,B,0
13,dd_45544_to_do,dd_20839_to_do,B,A,0
13,dd_16891_to_do,dd_42690_not_to_do,A,B,0
13,dd_43811_to_do,dd_3363_not_to_do,B,B,1
13,dd_1029_not_to_do,dd_2932_to_do,B,B,1
13,dd_43285_to_do,dd_31665_to_do,A,B,0
13,dd_42860_not_to_do,dd_33765_not_to_do,A,A,1
13,dd_42690_not_to_do,dd_1176_to_do,A,A,1
13,dd_37102_to_do,dd_14011_to_do,B,B,1
13,dd_29903_to_do,dd_19267_to_do,B,B,1
13,dd_38721_to_do,dd_1352_not_to_do,A,A,1
14,dd_45544_to_do,dd_20839_to_do,A,A,1
14,dd_16891_to_do,dd_42690_not_to_do,B,B,1
14,dd_43811_to_do,dd_3363_not_to_do,B,B,1
14,dd_1029_not_to_do,dd_2932_to_do,B,B,1
14,dd_43285_to_do,dd_31665_to_do,B,B,1
14,dd_42860_not_to_do,dd_33765_not_to_do,A,A,1
14,dd_42690_not_to_do,dd_1176_to_do,A,A,1
14,dd_37102_to_do,dd_14011_to_do,B,B,1
14,dd_29903_to_do,dd_19267_to_do,A,A,1
14,dd_38721_to_do,dd_1352_not_to_do,A,A,1
15,dd_45544_to_do,dd_20839_to_do,B,B,1
15,dd_16891_to_do,dd_42690_not_to_do,A,A,1
15,dd_43811_to_do,dd_3363_not_to_do,A,A,1
15,dd_1029_not_to_do,dd_2932_to_do,A,A,1
15,dd_43285_to_do,dd_31665_to_do,B,B,1
15,dd_42860_not_to_do,dd_33765_not_to_do,A,B,0
15,dd_42690_not_to_do,dd_1176_to_do,B,B,1
15,dd_37102_to_do,dd_14011_to_do,A,A,1
15,dd_29903_to_do,dd_19267_to_do,B,B,1
15,dd_38721_to_do,dd_1352_not_to_do,B,B,1
18,dd_45544_to_do,dd_20839_to_do,B,A,0
18,dd_16891_to_do,dd_42690_not_to_do,B,A,0
18,dd_43811_to_do,dd_3363_not_to_do,A,B,0
18,dd_1029_not_to_do,dd_2932_to_do,B,B,1
18,dd_43285_to_do,dd_31665_to_do,B,B,1
18,dd_42860_not_to_do,dd_33765_not_to_do,A,A,1
18,dd_42690_not_to_do,dd_1176_to_do,A,B,0
18,dd_37102_to_do,dd_14011_to_do,B,B,1
18,dd_29903_to_do,dd_19267_to_do,A,A,1
18,dd_38721_to_do,dd_1352_not_to_do,A,B,0
17,dd_45544_to_do,dd_20839_to_do,A,B,0
17,dd_16891_to_do,dd_42690_not_to_do,A,A,1
17,dd_43811_to_do,dd_3363_not_to_do,A,A,1
17,dd_1029_not_to_do,dd_2932_to_do,A,A,1
17,dd_43285_to_do,dd_31665_to_do,B,B,1
17,dd_42860_not_to_do,dd_33765_not_to_do,A,A,1
17,dd_42690_not_to_do,dd_1176_to_do,A,A,1
17,dd_37102_to_do,dd_14011_to_do,B,B,1
17,dd_29903_to_do,dd_19267_to_do,A,A,1
17,dd_38721_to_do,dd_1352_not_to_do,A,A,1
19,dd_45544_to_do,dd_20839_to_do,A,A,1
19,dd_16891_to_do,dd_42690_not_to_do,A,A,1
19,dd_43811_to_do,dd_3363_not_to_do,B,A,0
19,dd_1029_not_to_do,dd_2932_to_do,B,B,1
19,dd_43285_to_do,dd_31665_to_do,B,B,1
19,dd_42860_not_to_do,dd_33765_not_to_do,A,A,1
19,dd_42690_not_to_do,dd_1176_to_do,A,A,1
19,dd_37102_to_do,dd_14011_to_do,A,A,1
19,dd_29903_to_do,dd_19267_to_do,A,A,1
19,dd_38721_to_do,dd_1352_not_to_do,A,B,0
16,dd_45544_to_do,dd_20839_to_do,A,A,1
16,dd_16891_to_do,dd_42690_not_to_do,A,A,1
16,dd_43811_to_do,dd_3363_not_to_do,B,B,1
16,dd_1029_not_to_do,dd_2932_to_do,B,B,1
16,dd_43285_to_do,dd_31665_to_do,B,B,1
16,dd_42860_not_to_do,dd_33765_not_to_do,B,B,1
16,dd_42690_not_to_do,dd_1176_to_do,A,B,0
16,dd_37102_to_do,dd_14011_to_do,A,A,1
16,dd_29903_to_do,dd_19267_to_do,A,B,0
16,dd_38721_to_do,dd_1352_not_to_do,B,B,1
